datum,I_d
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,1.0096643570593
2020-03-19,1.0096643570593
2020-03-20,2.0193287141186
2020-03-21,2.0193287141186
2020-03-22,3.0289930711778994
2020-03-23,3.0289930711778994
2020-03-24,3.0289930711778994
2020-03-25,3.0289930711778994
2020-03-26,4.0386574282372
2020-03-27,4.0386574282372
2020-03-28,7.067650499415099
2020-03-29,7.067650499415099
2020-03-30,7.067650499415099
2020-03-31,7.067650499415099
2020-04-01,8.0773148564744
2020-04-02,8.0773148564744
2020-04-03,8.0773148564744
2020-04-04,9.086979213533699
2020-04-05,9.086979213533699
2020-04-06,9.086979213533699
2020-04-07,8.0773148564744
2020-04-08,8.0773148564744
2020-04-09,8.0773148564744
2020-04-10,8.0773148564744
2020-04-11,8.0773148564744
2020-04-12,8.0773148564744
2020-04-13,8.0773148564744
2020-04-14,8.0773148564744
2020-04-15,8.0773148564744
2020-04-16,11.1063079276523
2020-04-17,9.086979213533699
2020-04-18,9.086979213533699
2020-04-19,9.086979213533699
2020-04-20,6.057986142355799
2020-04-21,6.057986142355799
2020-04-22,5.048321785296499
2020-04-23,4.0386574282372
2020-04-24,4.0386574282372
2020-04-25,3.0289930711778994
2020-04-26,3.0289930711778994
2020-04-27,3.0289930711778994
2020-04-28,3.0289930711778994
2020-04-29,3.0289930711778994
2020-04-30,3.0289930711778994
2020-05-01,3.0289930711778994
2020-05-02,2.0193287141186
2020-05-03,2.0193287141186
2020-05-04,2.0193287141186
2020-05-05,1.0096643570593
2020-05-06,-1.0096643570593
2020-05-07,-1.0096643570593
2020-05-08,-1.0096643570593
2020-05-09,-1.0096643570593
2020-05-10,-1.0096643570593
2020-05-11,-1.0096643570593
2020-05-12,-1.0096643570593
2020-05-13,-1.0096643570593
2020-05-14,-1.0096643570593
2020-05-15,-1.0096643570593
2020-05-16,-1.0096643570593
2020-05-17,-1.0096643570593
2020-05-18,-1.0096643570593
2020-05-19,-1.0096643570593
2020-05-20,-1.0096643570593
2020-05-21,-1.0096643570593
2020-05-22,-1.0096643570593
2020-05-23,-1.0096643570593
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,1.0096643570593
2020-06-09,1.0096643570593
2020-06-10,1.0096643570593
2020-06-11,1.0096643570593
2020-06-12,2.0193287141186
2020-06-13,4.0386574282372
2020-06-14,6.057986142355799
2020-06-15,6.057986142355799
2020-06-16,6.057986142355799
2020-06-17,6.057986142355799
2020-06-18,6.057986142355799
2020-06-19,5.048321785296499
2020-06-20,5.048321785296499
2020-06-21,6.057986142355799
2020-06-22,6.057986142355799
2020-06-23,6.057986142355799
2020-06-24,6.057986142355799
2020-06-25,6.057986142355799
2020-06-26,6.057986142355799
2020-06-27,6.057986142355799
2020-06-28,6.057986142355799
2020-06-29,5.048321785296499
2020-06-30,5.048321785296499
2020-07-01,5.048321785296499
2020-07-02,5.048321785296499
2020-07-03,5.048321785296499
2020-07-04,5.048321785296499
2020-07-05,5.048321785296499
2020-07-06,5.048321785296499
2020-07-07,5.048321785296499
2020-07-08,5.048321785296499
