datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,test,test_hodo,I_d,I_d_hodo
04.05.2020,7819,4525,261,273672,7627,40.01238028,3033,15.91157066
05.05.2020,7896,4662,263,283119,9447,49.56037191,2971,15.5863094
06.05.2020,7974,4804,267,291202,8083,42.40462434,2903,15.22957126
07.05.2020,8031,4927,272,298784,7582,39.77630357,2832,14.85709466
08.05.2020,8077,4976,276,303341,4557,23.9067021,2825,14.82037161
09.05.2020,8095,5038,280,307123,3782,19.84093644,2777,14.56855645
10.05.2020,8123,5073,283,311174,4051,21.25215059,2767,14.51609496
11.05.2020,8176,5182,285,318979,7805,40.94619485,2709,14.2118183
12.05.2020,8221,5254,288,327688,8709,45.68871377,2679,14.05443382
13.05.2020,8269,5337,291,335368,7680,40.29042619,2641,13.85508015
14.05.2020,8351,5378,294,342248,6880,36.0935068,2679,14.05443382
15.05.2020,8406,5379,295,348849,6601,34.62983116,2732,14.33247973
