,datum,I_d
0,2020-03-01,0.006725416135822596
1,2020-03-02,0.006725416135822596
2,2020-03-03,0.012337306998539533
3,2020-03-04,0.012337306998539533
4,2020-03-05,0.029172979586690344
5,2020-03-06,0.05094001373627058
6,2020-03-07,0.0694741309868277
7,2020-03-08,0.10463438634935086
8,2020-03-09,0.11576463175106382
9,2020-03-10,0.18884938716660823
10,2020-03-11,0.3414927043522248
11,2020-03-12,0.4005534806097194
12,2020-03-13,0.48837389344069315
13,2020-03-14,0.6429730861822942
14,2020-03-15,1.0014380224646928
15,2020-03-16,1.3598107950997724
16,2020-03-17,1.586836539416513
17,2020-03-18,2.0189433634177782
18,2020-03-19,2.722569143628171
19,2020-03-20,3.2291995548615495
20,2020-03-21,3.715818478606833
21,2020-03-22,4.156119151250488
22,2020-03-23,4.617879415877967
23,2020-03-24,5.333031143033454
24,2020-03-25,6.569903225029532
25,2020-03-26,7.773685917555821
26,2020-03-27,9.260866746658042
27,2020-03-28,10.538206541582971
28,2020-03-29,11.120307507499106
29,2020-03-30,11.950821073449672
30,2020-03-31,13.409905328927682
31,2020-04-01,14.367156613271115
32,2020-04-02,15.311049135702104
33,2020-04-03,16.633163279135157
34,2020-04-04,17.89670437768624
35,2020-04-05,18.191151667317055
36,2020-04-06,18.9801745452388
37,2020-04-07,19.505337618403175
38,2020-04-08,20.596268617657753
39,2020-04-09,20.94990754135116
40,2020-04-10,21.161597542645502
41,2020-04-11,21.498430643994112
42,2020-04-12,21.438694153312035
43,2020-04-13,21.24064815337381
44,2020-04-14,20.93361644494685
45,2020-04-15,20.833244166956153
46,2020-04-16,20.340906890220552
47,2020-04-17,19.42064797123522
48,2020-04-18,19.165666593174212
49,2020-04-19,19.154405541062463
50,2020-04-20,18.57414849825524
51,2020-04-21,18.236498436370404
52,2020-04-22,17.282396617483215
53,2020-04-23,16.38680085176036
54,2020-04-24,15.48887753510993
55,2020-04-25,15.11839732910755
56,2020-04-26,14.94402086608487
57,2020-04-27,14.236758462973622
58,2020-04-28,13.733903017609363
59,2020-04-29,13.010409367302012
60,2020-04-30,12.280711738949627
61,2020-05-01,11.941775741689296
62,2020-05-02,11.445916178085088
63,2020-05-03,10.998142677638505
64,2020-05-04,10.3711897946388
65,2020-05-05,10.037274014587627
66,2020-05-06,9.583768312931554
67,2020-05-07,8.91176523971915
68,2020-05-08,8.748101973217748
69,2020-05-09,8.362079049957334
70,2020-05-10,8.192231556447151
71,2020-05-11,7.804019317286381
72,2020-05-12,7.478549888076678
73,2020-05-13,6.977042838826576
74,2020-05-14,6.87652475380268
75,2020-05-15,6.7627472939757505
76,2020-05-16,6.680070742374134
77,2020-05-17,6.401218464589461
78,2020-05-18,6.391136909324273
79,2020-05-19,6.300719451104803
80,2020-05-20,6.064918466624146
81,2020-05-21,5.801973920060864
82,2020-05-22,5.617357389168295
83,2020-05-23,5.683872997029762
84,2020-05-24,5.729486635596729
85,2020-05-25,5.438816072344522
86,2020-05-26,5.264998015272876
87,2020-05-27,5.0000596075452535
88,2020-05-28,4.975117780687196
89,2020-05-29,4.860651898446206
90,2020-05-30,4.813482870895609
91,2020-05-31,4.8371544445779895
92,2020-06-01,4.750670552611025
93,2020-06-02,4.679720393237722
94,2020-06-03,4.56647855164363
95,2020-06-04,4.587090604925735
96,2020-06-05,4.463186472253685
97,2020-06-06,4.574027258538101
98,2020-06-07,4.654656009464405
99,2020-06-08,4.639891742685259
100,2020-06-09,4.672709829720412
101,2020-06-10,4.688752209116273
102,2020-06-11,4.757541878795977
103,2020-06-12,4.745402381827187
104,2020-06-13,4.8681318122051
105,2020-06-14,4.9382490956959595
106,2020-06-15,4.997804447467674
107,2020-06-16,5.03282763182499
108,2020-06-17,4.992380169858748
109,2020-06-18,5.146799745960954
110,2020-06-19,5.299387080204246
111,2020-06-20,5.4239214178116955
112,2020-06-21,5.615679567739045
113,2020-06-22,5.750844452147044
114,2020-06-23,5.904601057937396
115,2020-06-24,6.13289542137976
116,2020-06-25,6.271152209522733
117,2020-06-26,6.583493941957316
118,2020-06-27,7.145011799568229
119,2020-06-28,7.828321524331283
120,2020-06-29,8.234267487984221
121,2020-06-30,8.555577921928768
122,2020-07-01,8.69053815145936
123,2020-07-02,8.965039533059349
124,2020-07-03,9.356451460095927
125,2020-07-04,9.744397781712953
126,2020-07-05,9.967833318204624
127,2020-07-06,10.070670129726354
128,2020-07-07,10.415995793077562
129,2020-07-08,10.517108023511309
