,datum,theta_mult
2020-07-02,7/2/2020,0.553001379255202
2020-07-03,7/3/2020,0.564515161812621
2020-07-04,7/4/2020,0.547184520359006
2020-07-05,7/5/2020,0.529214224318868
2020-07-06,7/6/2020,0.473824134967118
2020-07-07,7/7/2020,0.468766865892418
2020-07-08,7/8/2020,0.485018090231275
2020-07-09,7/9/2020,0.485357906730366
2020-07-10,7/10/2020,0.489835488836029
2020-07-11,7/11/2020,0.502508645331521
2020-07-12,7/12/2020,0.507765806464509
2020-07-13,7/13/2020,0.561936554260699
2020-07-14,7/14/2020,0.574789613608651
2020-07-15,7/15/2020,0.560557299058508
2020-07-16,7/16/2020,0.561516780938293
2020-07-17,7/17/2020,0.549403322206009
2020-07-18,7/18/2020,0.549663181881784
2020-07-19,7/19/2020,0.550522717732425
2020-07-20,7/20/2020,0.577728026865493
2020-07-21,7/21/2020,0.603454134767226
2020-07-22,7/22/2020,0.641733463929478
