datum,kumulativni_pocet_testu,I_d_cr,I_d,mean_waiting,all_tests
2020-02-26,135,0,0.0,,0
2020-02-27,170,0,0.0,,0.1836152235392403
2020-02-28,193,0,0.0,,0.12066143261150078
2020-02-29,200,0,0.0,2.333333333333333,0.03672304470784806
2020-03-01,211,3,0.015738447731934883,3.0,0.05770764168376124
2020-03-02,262,3,0.015738447731934883,,0.267553611442893
2020-03-03,340,5,0.026230746219891472,,0.409199641030307
2020-03-04,407,6,0.03147689546386977,1.0,0.35149199934654574
2020-03-05,483,9,0.04721534319580465,2.0,0.3987073425423504
2020-03-06,594,20,0.10492298487956588,5.5,0.5823225660815907
2020-03-07,787,27,0.14164602958741396,3.8333333333333335,1.012506804087811
2020-03-08,928,33,0.1731229250512837,3.375,0.7397070434009395
2020-03-09,1193,39,0.2045998205151535,3.727272727272727,1.390229549654248
2020-03-10,1358,64,0.33575355161461085,3.9090909090909087,0.8656146252564186
2020-03-11,1816,95,0.498384178177938,3.842105263157895,2.4027363537420587
2020-03-12,2353,117,0.6137994615454605,4.125,2.817182144016344
2020-03-13,3198,142,0.7449531926449179,4.803571428571429,4.432996111161659
2020-03-14,4184,139,0.7292147449129829,3.875,5.1727031545625985
2020-03-15,5212,245,1.2853065647746822,3.7931034482758617,5.393041422809687
2020-03-16,6531,330,1.7312292505128373,3.2155172413793105,6.9196708528073705
2020-03-17,7825,398,2.0879673991033614,4.163636363636364,6.788517121707914
2020-03-18,9581,508,2.6650438159409737,3.7450980392156863,9.212238072425885
2020-03-19,11840,713,3.740504410956524,4.196850393700787,11.851051142146968
2020-03-20,13961,833,4.370042320233919,4.185628742514971,11.127082546477963
2020-03-21,15843,987,5.177949303806577,3.8933333333333335,9.87325287716715
2020-03-22,17644,1101,5.776010317620102,5.7023809523809526,9.44831478840491
2020-03-23,19935,1223,6.416040525385454,6.462222222222223,12.018927917954272
2020-03-24,22997,1402,7.355101240057569,5.58364312267658,16.063708985061538
2020-03-25,27104,1684,8.834515326859448,5.8584070796460175,21.545934945018857
2020-03-26,31737,1933,10.140806488610044,6.37984496124031,24.30540944735144
2020-03-27,37096,2293,12.02942021644223,6.641434262948208,28.114113798479682
2020-03-28,41320,2545,13.351449825924758,6.357615894039736,22.159734406564315
2020-03-29,44168,2683,14.075418421593767,7.760330578512398,14.941033046850183
2020-03-30,49327,2834,14.867586957434487,7.4034334763948495,27.06488394968402
2020-03-31,55988,3114,16.33650874574841,7.34,34.94460011413942
2020-04-01,62090,3346,17.553615370351373,6.966101694915254,32.01200268675555
2020-04-02,68763,3573,18.74449124873445,8.272058823529411,35.00755390506716
2020-04-03,76161,3834,20.11373620141278,8.067484662576687,38.811012106951424
2020-04-04,81998,4067,21.336088975259727,7.070422535211267,30.621773137101307
2020-04-05,86810,4133,21.68233482536229,7.9,25.244470162023553
2020-04-06,93245,4264,22.369580376323448,7.53125,33.758970385000325
2020-04-07,101418,4331,22.721072375669994,8.130434782608695,42.876777771034604
