datum,I_d
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.23879389969311182
2020-03-09,0.23879389969311182
2020-03-10,0.7163816990793355
2020-03-11,0.9551755987724473
2020-03-12,0.9551755987724473
2020-03-13,1.432763398158671
2020-03-14,4.298290194476013
2020-03-15,6.686229191407131
2020-03-16,8.118992589565803
2020-03-17,8.118992589565803
2020-03-18,10.029343787110696
2020-03-19,13.372458382814262
2020-03-20,14.32763398158671
2020-03-21,15.521603480052267
2020-03-22,19.34230587514206
2020-03-23,21.491450972380065
2020-03-24,24.118183869004294
2020-03-25,28.65526796317342
2020-03-26,33.19235205734254
2020-03-27,40.11737514844278
2020-03-28,44.17687144322569
2020-03-29,48.4751616377017
2020-03-30,53.01224573187083
2020-03-31,57.54932982603995
2020-04-01,63.519177318367745
2020-04-02,67.81746751284376
2020-04-03,71.87696380762665
2020-04-04,78.32439909934068
2020-04-05,78.56319299903379
2020-04-06,82.62268929381669
2020-04-07,81.18992589565802
2020-04-08,84.29424659166847
2020-04-09,94.5623842784723
2020-04-10,92.8908269806205
2020-04-11,92.8908269806205
2020-04-12,92.41323918123427
2020-04-13,89.54771238491695
2020-04-14,87.87615508706516
2020-04-15,85.96580388952026
2020-04-16,80.7123380962718
2020-04-17,76.891635701182
2020-04-18,74.5036967042509
2020-04-19,66.6234980143782
2020-04-20,63.996765117753974
2020-04-21,63.519177318367745
2020-04-22,57.54932982603995
2020-04-23,53.72862743095016
2020-04-24,50.86310063463282
2020-04-25,49.90792503586037
2020-04-26,49.43033723647415
2020-04-27,47.28119213923615
2020-04-28,47.042398239543026
2020-04-29,45.60963484138436
2020-04-30,43.46048974414635
2020-05-01,42.266520245680795
2020-05-02,41.55013854660146
2020-05-03,40.59496294782901
2020-05-04,38.20702395089789
2020-05-05,37.013054452432335
2020-05-06,34.86390935519432
2020-05-07,33.19235205734254
2020-05-08,32.71476425795632
2020-05-09,31.759588659183873
2020-05-10,31.282000859797648
2020-05-11,27.938886264094084
2020-05-12,26.506122865935414
2020-05-13,24.118183869004294
2020-05-14,24.356977768697405
2020-05-15,23.640596069618073
2020-05-16,22.44662657115251
2020-05-17,21.96903877176629
2020-05-18,20.05868757422139
2020-05-19,19.58109977483517
2020-05-20,18.38713027636961
2020-05-21,18.1483363766765
2020-05-22,17.43195467759716
2020-05-23,17.43195467759716
2020-05-24,17.43195467759716
2020-05-25,16.476779078824716
2020-05-26,16.237985179131606
2020-05-27,15.999191279438493
2020-05-28,15.521603480052267
2020-05-29,15.521603480052267
2020-05-30,15.999191279438493
2020-05-31,16.237985179131606
2020-06-01,16.715572978517827
2020-06-02,18.1483363766765
2020-06-03,17.670748577290276
2020-06-04,17.43195467759716
2020-06-05,18.38713027636961
2020-06-06,20.53627537360762
2020-06-07,24.118183869004294
2020-06-08,28.416474063480305
2020-06-09,29.84923746163898
2020-06-10,31.998382558876987
2020-06-11,32.71476425795632
2020-06-12,34.147527656114995
2020-06-13,34.147527656114995
2020-06-14,34.147527656114995
2020-06-15,34.625115455501216
2020-06-16,35.81908495396677
2020-06-17,35.81908495396677
2020-06-18,36.77426055273922
2020-06-19,37.013054452432335
2020-06-20,37.013054452432335
2020-06-21,37.013054452432335
2020-06-22,36.77426055273922
2020-06-23,35.81908495396677
2020-06-24,35.580291054273665
2020-06-25,33.66993985672877
2020-06-26,33.90873375642188
2020-06-27,33.90873375642188
2020-06-28,33.90873375642188
2020-06-29,33.66993985672877
2020-06-30,32.47597035826321
2020-07-01,25.78974116685608
2020-07-02,23.16300827023185
2020-07-03,23.640596069618073
2020-07-04,23.40180216992496
2020-07-05,23.40180216992496
2020-07-06,23.40180216992496
2020-07-07,23.16300827023185
2020-07-08,22.924214370538735
