date,betafactor
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0.0361171484154177
07/03/2020,0.0722342968308355
08/03/2020,0.108351445246253
09/03/2020,0.144468593661671
10/03/2020,0.180585742077089
11/03/2020,0.216702890492506
12/03/2020,0.252820038907924
13/03/2020,0.319235280454327
14/03/2020,0.385650522000729
15/03/2020,0.452065763547132
16/03/2020,0.518481005093534
17/03/2020,0.584896246639937
18/03/2020,0.65131148818634
19/03/2020,0.717726729732742
20/03/2020,0.71497302044358
21/03/2020,0.712219311154418
22/03/2020,0.709465601865256
23/03/2020,0.706711892576094
24/03/2020,0.703958183286932
25/03/2020,0.70120447399777
26/03/2020,0.698450764708608
27/03/2020,0.695824398865586
28/03/2020,0.693198033022564
29/03/2020,0.690571667179542
30/03/2020,0.68794530133652
31/03/2020,0.685318935493498
01/04/2020,0.682692569650476
02/04/2020,0.680066203807454
03/04/2020,0.67871192787494
04/04/2020,0.677357651942427
05/04/2020,0.676003376009914
06/04/2020,0.6746491000774
07/04/2020,0.673294824144887
08/04/2020,0.671940548212373
09/04/2020,0.67058627227986
10/04/2020,0.669294038035647
11/04/2020,0.668001803791433
12/04/2020,0.66670956954722
13/04/2020,0.665417335303007
14/04/2020,0.664125101058794
15/04/2020,0.66283286681458
16/04/2020,0.661540632570367
17/04/2020,0.65917996603921
18/04/2020,0.656819299508052
19/04/2020,0.654458632976895
20/04/2020,0.652097966445738
21/04/2020,0.64973729991458
22/04/2020,0.647376633383423
23/04/2020,0.645015966852266
24/04/2020,0.642707606179663
25/04/2020,0.640399245507061
26/04/2020,0.638090884834458
27/04/2020,0.635782524161856
28/04/2020,0.633474163489253
29/04/2020,0.631165802816651
30/04/2020,0.628857442144049
01/05/2020,0.626469048484632
02/05/2020,0.624080654825215
03/05/2020,0.621692261165799
04/05/2020,0.619303867506382
05/05/2020,0.616915473846966
06/05/2020,0.614527080187549
07/05/2020,0.612138686528133
08/05/2020,0.609801946427818
09/05/2020,0.607465206327504
10/05/2020,0.60512846622719
11/05/2020,0.602791726126876
12/05/2020,0.600454986026561
13/05/2020,0.598118245926247
14/05/2020,0.595781505825933
15/05/2020,0.594576863332841
16/05/2020,0.593372220839749
17/05/2020,0.592167578346657
18/05/2020,0.590962935853565
19/05/2020,0.589758293360473
20/05/2020,0.588553650867381
21/05/2020,0.58734900837429
22/05/2020,0.586176671968186
23/05/2020,0.585004335562082
24/05/2020,0.583831999155978
25/05/2020,0.582659662749874
26/05/2020,0.58148732634377
27/05/2020,0.580314989937666
28/05/2020,0.579142653531562
29/05/2020,0.576013860009895
30/05/2020,0.572885066488228
31/05/2020,0.569756272966561
01/06/2020,0.566627479444894
02/06/2020,0.563498685923227
03/06/2020,0.56036989240156
04/06/2020,0.557241098879893
05/06/2020,0.554153586688285
06/06/2020,0.551066074496677
07/06/2020,0.547978562305068
08/06/2020,0.54489105011346
09/06/2020,0.541803537921853
10/06/2020,0.538716025730244
11/06/2020,0.535628513538636
12/06/2020,0.533908188637176
13/06/2020,0.532187863735716
14/06/2020,0.530467538834256
15/06/2020,0.528747213932796
16/06/2020,0.527026889031336
17/06/2020,0.525306564129876
18/06/2020,0.523586239228415
19/06/2020,0.521771622898095
20/06/2020,0.519957006567775
21/06/2020,0.518142390237456
22/06/2020,0.516327773907136
23/06/2020,0.514513157576816
24/06/2020,0.512698541246496
25/06/2020,0.510883924916176
26/06/2020,0.507642427751473
27/06/2020,0.504400930586769
28/06/2020,0.501159433422066
29/06/2020,0.497917936257363
30/06/2020,0.49467643909266
01/07/2020,0.491434941927957
02/07/2020,0.488193444763253
03/07/2020,0.487098767430191
04/07/2020,0.486004090097128
05/07/2020,0.484909412764066
06/07/2020,0.483814735431003
07/07/2020,0.482720058097941
08/07/2020,0.481625380764879
09/07/2020,0.480530703431816
10/07/2020,0.479436026098754
11/07/2020,0.478341348765691
12/07/2020,0.477246671432629
13/07/2020,0.476151994099566
14/07/2020,0.475057316766504
15/07/2020,0.473962639433441
16/07/2020,0.472867962100379
17/07/2020,0.471773284767316
18/07/2020,0.470678607434254
19/07/2020,0.469583930101191
20/07/2020,0.468489252768129
21/07/2020,0.467394575435066
22/07/2020,0.466299898102004
23/07/2020,0.465205220768941
24/07/2020,0.464467823196795
25/07/2020,0.463730425624649
26/07/2020,0.462993028052503
27/07/2020,0.462255630480357
28/07/2020,0.461518232908211
29/07/2020,0.460780835336065
30/07/2020,0.460043437763919
31/07/2020,0.459306040191773
01/08/2020,0.458568642619627
02/08/2020,0.457831245047481
03/08/2020,0.457093847475335
04/08/2020,0.456356449903189
05/08/2020,0.455619052331043
06/08/2020,0.454881654758897
07/08/2020,0.454144257186751
08/08/2020,0.453406859614605
09/08/2020,0.452669462042459
10/08/2020,0.451932064470313
11/08/2020,0.451194666898167
12/08/2020,0.450457269326021
13/08/2020,0.449719871753875
14/08/2020,0.450636932132928
15/08/2020,0.451553992511981
16/08/2020,0.452471052891035
17/08/2020,0.453388113270088
18/08/2020,0.454305173649141
19/08/2020,0.455222234028195
20/08/2020,0.456139294407248
21/08/2020,0.457056354786301
22/08/2020,0.457973415165355
23/08/2020,0.458890475544408
24/08/2020,0.459807535923461
25/08/2020,0.460724596302515
26/08/2020,0.461641656681568
27/08/2020,0.462558717060621
28/08/2020,0.463475777439675
29/08/2020,0.464392837818728
30/08/2020,0.465309898197781
31/08/2020,0.466226958576835
01/09/2020,0.467144018955888
