datum,I_d
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0.006725416135822596
2020-03-02,0.006725416135822596
2020-03-03,0.012337306998539533
2020-03-04,0.012337306998539533
2020-03-05,0.029172979586690344
2020-03-06,0.05094001373627058
2020-03-07,0.0694741309868277
2020-03-08,0.10463438634935086
2020-03-09,0.11576463175106382
2020-03-10,0.18884938716660823
2020-03-11,0.3414927043522248
2020-03-12,0.4005534806097194
2020-03-13,0.48837389344069315
2020-03-14,0.6429730861822942
2020-03-15,1.0014380224646928
2020-03-16,1.3598107950997724
2020-03-17,1.586836539416513
2020-03-18,2.0189433634177782
2020-03-19,2.722569143628171
2020-03-20,3.2291995548615495
2020-03-21,3.715818478606833
2020-03-22,4.156119151250488
2020-03-23,4.617879415877967
2020-03-24,5.333031143033454
2020-03-25,6.569903225029532
2020-03-26,7.773685917555821
2020-03-27,9.260866746658042
2020-03-28,10.538206541582971
2020-03-29,11.120307507499106
2020-03-30,11.950821073449672
2020-03-31,13.409905328927682
2020-04-01,14.367156613271115
2020-04-02,15.311049135702104
2020-04-03,16.633163279135157
2020-04-04,17.89670437768624
2020-04-05,18.191151667317055
2020-04-06,18.9801745452388
2020-04-07,19.505337618403175
2020-04-08,20.596268617657753
2020-04-09,20.94990754135116
2020-04-10,21.161597542645502
2020-04-11,21.498430643994112
2020-04-12,21.438694153312035
2020-04-13,21.24064815337381
2020-04-14,20.93361644494685
2020-04-15,20.833244166956153
2020-04-16,20.340906890220552
2020-04-17,19.42064797123522
2020-04-18,19.165666593174212
2020-04-19,19.154405541062463
2020-04-20,18.57414849825524
2020-04-21,18.236498436370404
2020-04-22,17.282396617483215
2020-04-23,16.38680085176036
2020-04-24,15.48887753510993
2020-04-25,15.11839732910755
2020-04-26,14.94402086608487
2020-04-27,14.236758462973622
2020-04-28,13.733903017609363
2020-04-29,13.010409367302012
2020-04-30,12.280711738949627
2020-05-01,11.941775741689296
2020-05-02,11.445916178085088
2020-05-03,10.998142677638505
2020-05-04,10.3711897946388
2020-05-05,10.037274014587627
2020-05-06,9.583768312931554
2020-05-07,8.91176523971915
2020-05-08,8.748101973217748
2020-05-09,8.362079049957334
2020-05-10,8.192231556447151
2020-05-11,7.804019317286381
2020-05-12,7.478549888076678
2020-05-13,6.977042838826576
2020-05-14,6.87652475380268
2020-05-15,6.7627472939757505
2020-05-16,6.680070742374134
2020-05-17,6.401218464589461
2020-05-18,6.391136909324273
2020-05-19,6.300719451104803
2020-05-20,6.064918466624146
2020-05-21,5.801973920060864
2020-05-22,5.617357389168295
2020-05-23,5.683872997029762
2020-05-24,5.729486635596729
2020-05-25,5.438816072344522
2020-05-26,5.264998015272876
2020-05-27,5.0000596075452535
2020-05-28,4.975117780687196
2020-05-29,4.860651898446206
2020-05-30,4.813482870895609
2020-05-31,4.8371544445779895
2020-06-01,4.750670552611025
2020-06-02,4.679720393237722
2020-06-03,4.56647855164363
2020-06-04,4.587090604925735
2020-06-05,4.463186472253685
2020-06-06,4.574027258538101
2020-06-07,4.654656009464405
2020-06-08,4.639891742685259
2020-06-09,4.672709829720412
2020-06-10,4.688752209116273
2020-06-11,4.757541878795977
2020-06-12,4.745402381827187
2020-06-13,4.8681318122051
2020-06-14,4.9382490956959595
2020-06-15,4.997804447467674
2020-06-16,5.03282763182499
2020-06-17,4.992380169858748
2020-06-18,5.146799745960954
2020-06-19,5.299387080204246
2020-06-20,5.4239214178116955
2020-06-21,5.615679567739045
2020-06-22,5.750844452147044
2020-06-23,5.904601057937396
2020-06-24,6.13289542137976
2020-06-25,6.271152209522733
2020-06-26,6.583493941957316
2020-06-27,7.145011799568229
2020-06-28,7.828321524331283
2020-06-29,8.234267487984221
2020-06-30,8.555577921928768
2020-07-01,8.69053815145936
2020-07-02,8.965039533059349
2020-07-03,9.356451460095927
2020-07-04,9.744397781712953
2020-07-05,9.967833318204624
2020-07-06,10.070670129726354
2020-07-07,10.415995793077562
2020-07-08,10.517108023511309
