datum,kumulativni_pocet_I_d_prepocitano_Olomouc,kumulativni_pocet_vylecenych_prepocitano_Olomouc,kumulativni_pocet_umrti_prepocitano_Olomouc
2020-03-01,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.23879389969311182,0.0,0.0
2020-03-09,0.23879389969311182,0.0,0.0
2020-03-10,0.7163816990793355,0.0,0.0
2020-03-11,0.9551755987724473,0.0,0.0
2020-03-12,0.9551755987724473,0.0,0.0
2020-03-13,1.432763398158671,0.0,0.0
2020-03-14,4.298290194476013,0.0,0.0
2020-03-15,6.686229191407131,0.0,0.0
2020-03-16,8.118992589565803,0.0,0.0
2020-03-17,8.118992589565803,0.0,0.0
2020-03-18,10.029343787110696,0.0,0.0
2020-03-19,13.372458382814262,0.0,0.0
2020-03-20,14.32763398158671,0.0,0.0
2020-03-21,15.521603480052267,0.0,0.0
2020-03-22,19.34230587514206,0.0,0.0
2020-03-23,21.491450972380065,0.47758779938622364,0.0
2020-03-24,24.118183869004294,0.47758779938622364,0.0
2020-03-25,28.65526796317342,0.47758779938622364,0.23879389969311182
2020-03-26,33.19235205734254,0.47758779938622364,0.23879389969311182
2020-03-27,40.11737514844278,0.7163816990793355,0.23879389969311182
2020-03-28,44.17687144322569,0.7163816990793355,0.47758779938622364
2020-03-29,48.4751616377017,0.7163816990793355,0.47758779938622364
2020-03-30,53.01224573187083,0.7163816990793355,0.47758779938622364
2020-03-31,57.54932982603995,0.7163816990793355,0.7163816990793355
2020-04-01,63.519177318367745,0.9551755987724473,0.7163816990793355
2020-04-02,67.81746751284376,1.9103511975448946,0.9551755987724473
2020-04-03,71.87696380762665,2.387938996931118,0.9551755987724473
2020-04-04,78.32439909934068,2.62673289662423,0.9551755987724473
2020-04-05,78.56319299903379,2.62673289662423,1.432763398158671
2020-04-06,82.62268929381669,3.3431145957035655,1.432763398158671
2020-04-07,81.18992589565802,6.686229191407131,1.6715572978517828
2020-04-08,84.29424659166847,8.596580388952026,1.6715572978517828
2020-04-09,94.5623842784723,10.029343787110696,1.6715572978517828
2020-04-10,92.8908269806205,13.372458382814262,1.6715572978517828
2020-04-11,92.8908269806205,15.521603480052267,1.9103511975448946
2020-04-12,92.41323918123427,16.95436687821094,1.9103511975448946
2020-04-13,89.54771238491695,19.81989367452828,1.9103511975448946
2020-04-14,87.87615508706516,21.730244872073175,1.9103511975448946
2020-04-15,85.96580388952026,24.356977768697405,1.9103511975448946
2020-04-16,80.7123380962718,31.043206960104534,1.9103511975448946
2020-04-17,76.891635701182,36.53546665304611,1.9103511975448946
2020-04-18,74.5036967042509,40.11737514844278,1.9103511975448946
2020-04-19,66.6234980143782,48.23636773800859,1.9103511975448946
2020-04-20,63.996765117753974,51.818276233405264,2.387938996931118
2020-04-21,63.519177318367745,55.16139082910883,2.865526796317342
2020-04-22,57.54932982603995,62.32520781990218,3.1043206960104537
2020-04-23,53.72862743095016,66.8622919140713,3.1043206960104537
2020-04-24,50.86310063463282,70.20540650977487,3.1043206960104537
2020-04-25,49.90792503586037,71.16058210854733,3.1043206960104537
2020-04-26,49.43033723647415,71.63816990793354,3.1043206960104537
2020-04-27,47.28119213923615,74.26490280455778,3.1043206960104537
2020-04-28,47.042398239543026,75.69766620271645,3.1043206960104537
2020-04-29,45.60963484138436,77.13042960087512,3.1043206960104537
2020-04-30,43.46048974414635,79.51836859780624,3.1043206960104537
2020-05-01,42.266520245680795,80.47354419657869,3.3431145957035655
2020-05-02,41.55013854660146,81.18992589565802,3.3431145957035655
2020-05-03,40.59496294782901,81.90630759473736,3.5819084953966773
2020-05-04,38.20702395089789,84.29424659166847,3.5819084953966773
2020-05-05,37.013054452432335,86.20459778921338,3.5819084953966773
2020-05-06,34.86390935519432,88.8313306858376,3.5819084953966773
2020-05-07,33.19235205734254,90.50288798368939,3.5819084953966773
2020-05-08,32.71476425795632,90.9804757830756,3.5819084953966773
2020-05-09,31.759588659183873,91.93565138184805,3.5819084953966773
2020-05-10,31.282000859797648,92.41323918123427,3.5819084953966773
2020-05-11,27.938886264094084,95.51755987724474,3.820702395089789
2020-05-12,26.506122865935414,96.9503232754034,3.820702395089789
2020-05-13,24.118183869004294,99.57705617202764,3.820702395089789
2020-05-14,24.356977768697405,99.57705617202764,3.820702395089789
2020-05-15,23.640596069618073,100.53223177080008,3.820702395089789
2020-05-16,22.44662657115251,101.72620126926564,3.820702395089789
2020-05-17,21.96903877176629,102.20378906865187,3.820702395089789
2020-05-18,20.05868757422139,104.11414026619676,3.820702395089789
2020-05-19,19.58109977483517,104.59172806558298,3.820702395089789
2020-05-20,18.38713027636961,105.78569756404853,3.820702395089789
2020-05-21,18.1483363766765,105.78569756404853,4.059496294782901
2020-05-22,17.43195467759716,106.50207926312788,4.059496294782901
2020-05-23,17.43195467759716,106.50207926312788,4.059496294782901
2020-05-24,17.43195467759716,106.50207926312788,4.059496294782901
2020-05-25,16.476779078824716,107.45725486190032,4.059496294782901
2020-05-26,16.237985179131606,107.69604876159343,4.059496294782901
2020-05-27,15.999191279438493,107.93484266128654,4.059496294782901
2020-05-28,15.521603480052267,108.41243046067278,4.059496294782901
2020-05-29,15.521603480052267,108.65122436036587,4.059496294782901
2020-05-30,15.999191279438493,108.65122436036587,4.059496294782901
2020-05-31,16.237985179131606,108.65122436036587,4.059496294782901
