datum,pocet_I_d_prepocitano
2020-03-01,0.006725416135822596
2020-03-02,0.006725416135822596
2020-03-03,0.012337306998539533
2020-03-04,0.012894069635092362
2020-03-05,0.029729742223243174
2020-03-06,0.051496776372823405
2020-03-07,0.07003089362338052
2020-03-08,0.1051911489859037
2020-03-09,0.11632139438761663
2020-03-10,0.18940614980316106
2020-03-11,0.34204946698877764
2020-03-12,0.4011102432462722
2020-03-13,0.488930656077246
2020-03-14,0.6435298488188468
2020-03-15,1.0014380224646922
2020-03-16,1.3598107950997724
2020-03-17,1.593122645421356
2020-03-18,2.0252294694226225
2020-03-19,2.734957047706809
2020-03-20,3.2421442215767406
2020-03-21,3.7270928574123636
2020-03-22,4.174564482012611
2020-03-23,4.636324746640086
2020-03-24,5.342589252828664
2020-03-25,6.57696820708931
2020-03-26,7.784397688621283
2020-03-27,9.287273058671069
2020-03-28,10.570481976128205
2020-03-29,11.15124434773539
2020-03-30,11.981900430253683
2020-03-31,13.429539581014131
2020-04-01,14.400124711887175
2020-04-02,15.33037148890984
2020-04-03,16.638751066866455
2020-04-04,17.89449715976853
2020-04-05,18.201264669992582
2020-04-06,18.96998759143359
2020-04-07,19.481883775721684
2020-04-08,20.563191283303148
2020-04-09,20.872911320365308
2020-04-10,21.05287936482351
2020-04-11,21.355845735471966
2020-04-12,21.26584860170561
2020-04-13,21.073736648660137
2020-04-14,20.753063058858984
2020-04-15,20.615332567853443
2020-04-16,20.12591681113186
2020-04-17,19.12530944803428
2020-04-18,18.855301108642195
2020-04-19,18.8312633321569
2020-04-20,18.222971499077016
2020-04-21,17.85486783809236
2020-04-22,16.883994957443374
2020-04-23,15.965491345605955
2020-04-24,15.034391949761968
2020-04-25,14.618290793208304
2020-04-26,14.433368214629422
2020-04-27,13.671596443322358
2020-04-28,13.089344091570153
2020-04-29,12.310643698160051
2020-04-30,11.584272117207385
2020-05-01,11.188022041406619
2020-05-02,10.691925732565267
2020-05-03,10.219130223198473
2020-05-04,9.553654032682662
2020-05-05,9.156145380569889
2020-05-06,8.677736533727767
2020-05-07,7.98479983478038
2020-05-08,7.812687222593216
2020-05-09,7.432772618690857
2020-05-10,7.2647655283403
2020-05-11,6.85730779809684
2020-05-12,6.509703731688798
2020-05-13,6.014886499257664
2020-05-14,5.9201193970438055
2020-05-15,5.777429367680373
2020-05-16,5.705139256067195
2020-05-17,5.422986952695309
2020-05-18,5.385122298756555
2020-05-19,5.315313442093178
2020-05-20,5.07030540993532
2020-05-21,4.782956834591461
2020-05-22,4.583574161467295
2020-05-23,4.658414051696914
2020-05-24,4.685769562892926
2020-05-25,4.3888112545619355
2020-05-26,4.200076212048616
2020-05-27,3.9267777333943115
2020-05-28,3.8858920099332237
2020-05-29,3.7392291582557937
2020-05-30,3.67286801368646
2020-05-31,3.69089848010979
2020-06-01,3.565084014123194
2020-06-02,3.4581552721350377
2020-06-03,3.3136197695740646
2020-06-04,3.3056047685113836
2020-06-05,3.1589469254544675
2020-06-06,3.235482221935082
2020-06-07,3.3173147046675004
2020-06-08,3.281356960062708
2020-06-09,3.2884942375055415
2020-06-10,3.268480104004655
2020-06-11,3.3059434265716874
2020-06-12,3.2423830736902004
2020-06-13,3.339425703446113
2020-06-14,3.413902006589946
2020-06-15,3.4191571010475497
2020-06-16,3.3975152626661833
2020-06-17,3.321542170248791
2020-06-18,3.425218314728491
2020-06-19,3.551899662446432
2020-06-20,3.647491578025761
2020-06-21,3.822080662055185
2020-06-22,3.8486474048384927
2020-06-23,3.9548162251673764
2020-06-24,4.10347730481575
2020-06-25,4.1374580896494555
2020-06-26,4.389447616495908
2020-06-27,4.944059189826837
2020-06-28,5.637365229445805
2020-06-29,6.005762885113008
2020-06-30,6.262230704133005
2020-07-01,6.231265045656979
2020-07-02,6.344043173940889
2020-07-03,6.570489897362594
2020-07-04,6.900423873412295
2020-07-05,7.092052453391856
2020-07-06,7.110768270743049
2020-07-07,7.273423417414323
2020-07-08,6.99112228365646
2020-07-09,6.8510515782724895
2020-07-10,6.709695876303869
2020-07-11,6.455944281673196
2020-07-12,6.134863299010292
2020-07-13,5.494891510850325
2020-07-14,5.357661164427024
2020-07-15,5.473094116808426
2020-07-16,5.649803317464404
2020-07-17,5.6249193217913955
2020-07-18,5.71969398848366
2020-07-19,5.850409512583787
2020-07-20,6.054171519820468
2020-07-21,6.380256083894583
2020-07-22,6.827503957128231
2020-07-23,7.380869680809989
2020-07-24,8.160111800471517
2020-07-25,8.491408610975821
2020-07-26,8.8178120684687
2020-07-27,9.15081990269318
2020-07-28,9.772632077891695
2020-07-29,10.402581650723151
2020-07-30,11.125717473430388
2020-07-31,11.345800742292115
2020-08-01,11.532240772559994
2020-08-02,11.624279865023354
2020-08-03,11.492215258662087
2020-08-04,11.73735150841834
2020-08-05,12.039227485952875
2020-08-06,12.134087666059301
2020-08-07,12.388800909002363
2020-08-08,12.624669154180776
2020-08-09,12.868385172277938
2020-08-10,11.938917532662016
2020-08-11,11.981884223956547
2020-08-12,12.078547450527799
2020-08-13,12.327161304416391
2020-08-14,12.40752566130005
2020-08-15,12.691366008592734
2020-08-16,12.929698794899785
2020-08-17,12.594968505443656
2020-08-18,12.722292568168006
2020-08-19,12.936414368957012
2020-08-20,13.032599270216382
2020-08-21,13.809240077142308
2020-08-22,14.309534515736173
2020-08-23,14.450815993081171
2020-08-24,14.39333732738146
2020-08-25,14.82676515510459
2020-08-26,15.3883904494102
2020-08-27,15.315846038892415
2020-08-28,16.198808718375105
2020-08-29,17.2266370862992
2020-08-30,17.78971682201171
