id,name,6,13,20,27,34,41,48,55,62,69,76,83,90,97,104
0,no_layer,1,0.552776972649711,0.20453923234194,0.131311328051087,0.122944960686204,0.156617297892346,0.226858558270098,0.271706919344335,0.349206696333064,0.417464900030663,0.518214498959175,0.616216188275059,0.764487075766218,0.875455644354314,1.0
1,family_inside,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,family_in_house,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,family_visitsors_to_visited,1,0.706867330446006,0.541234681652391,0.403926841986468,0.44273127753304,0.466796859099201,0.576683967293752,0.613968809354851,0.741895744121573,0.814189781845706,0.908713681145861,0.89319711640602,1.06986825850726,1.0455898456594,1.0
4,nursary_children_inclass,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,nursary_teachers_to_children,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,lower_elementary_children_inclass,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,lower_elementary_teachers_to_children,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,higher_elementary_children_inclass,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,higher_elementary_teachers_to_children,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,highschool_children_inclass,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,highschool_teachers_to_children,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,nursary_children_coridors,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,elementary_children_coridors,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,highschool_children_coridors,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,nursary_teachers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,elementary_teachers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,highschool_teachers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,leasure_outdoor,1,0.489075111623348,0.138600685810783,0.0876893121222566,0.122944960686204,0.151506656540386,0.329450053609721,0.437698355968549,0.768946568977841,0.860136704789135,1.0604449606862,1.10294161007863,1.57376697641172,1.93993142423159,1.0
19,leasure_visit,1,0.51313370508226,0.285214027805501,0.154518544995711,0.122944960686204,0.178267851417845,0.274690272587266,0.3452360974783,0.475487293695788,0.580561432570386,0.708346314700476,0.751096580122952,0.960547823374656,0.994055359009647,1.0
20,leasure_pub,1,0.673570819442584,0.116503523668095,0.0382867461105247,0.0745614035087719,0.081318663771078,0.113758303525805,0.114289250127746,0.208618101686254,0.240838177056719,0.639371486969852,0.802284268012263,1.10207747828309,1.21968547734627,1.0
21,work_contacts,1,0.784417256723816,0.411880294069541,0.375226741933806,0.498539435248296,0.50126425706876,0.596759424660345,0.604048338278372,0.669609904584198,0.701226984724273,0.771855559775923,0.821874825385525,0.920418473762901,0.957875214261277,1.0
22,work_workers_to_clients_distant,1,0.766457551968937,0.39323571126036,0.350039204014652,0.454426229508197,0.460785806911647,0.553314927662516,0.565015161854553,0.631978859394172,0.667899403859504,0.742065663870262,0.797720418477223,0.902104482724591,0.948195115935669,1.0
23,work_workers_to_clients_physical_short,1,0.766457551968937,0.39323571126036,0.350039204014652,0.454426229508197,0.460785806911647,0.553314927662516,0.565015161854553,0.631978859394172,0.667899403859504,0.742065663870262,0.797720418477223,0.902104482724591,0.948195115935669,1.0
24,work_workers_to_clients_physical_long,1,0.737939037454443,0.489479114796156,0.359618212894341,0.454426229508197,0.382681255851833,0.487235497149569,0.497972443060626,0.635858148798608,0.605317924199027,0.809999966758819,0.839004094205508,1.06910238837888,0.960091213801739,1.0
25,public_transport,1,0.665265068985406,0.29327390121757,0.179482854868936,0.230769230769231,0.212501189710518,0.27324867401355,0.280632378007804,0.384759015121581,0.416839955814872,0.592237030713279,0.607405767716592,0.770951451158418,0.811328928279923,1.0
26,shops_customers,1,0.797569822335523,0.69804308387404,0.574062612814623,0.538880813953488,0.540886775771759,0.604064456278503,0.637552976423322,0.714493040480939,0.724575579138728,0.807874915021386,0.827521195157376,0.913363487068489,0.951763732374418,1.0
27,shops_workers_to_clients,1,0.797569822335523,0.69804308387404,0.574062612814623,0.538880813953488,0.540886775771759,0.604064456278503,0.637552976423322,0.714493040480939,0.724575579138728,0.807874915021386,0.827521195157376,0.913363487068489,0.951763732374418,1.0
28,pubs_customers,1,0.673570819442584,0.116503523668095,0.0382867461105247,0.0745614035087719,0.081318663771078,0.113758303525805,0.114289250127746,0.208618101686254,0.240838177056719,0.639371486969852,0.802284268012263,1.10207747828309,1.21968547734627,1.0
