age,sex,key
65,1,7192503
68,0,7192503
14,1,7194334
41,0,7194334
37,1,7194334
18,1,7194334
84,1,7194335
64,0,7194649
60,1,7194649
33,0,7194956
47,0,7194957
47,1,7194957
22,0,7194958
19,0,7194958
27,1,7194959
32,0,7194959
32,0,7194960
64,1,7194960
67,0,7194960
33,0,7194961
64,1,7194961
35,1,7194962
13,1,7194962
52,1,7194963
14,1,7194963
51,0,7194963
21,1,7194964
47,0,7194964
42,1,7194964
17,1,7194964
60,0,7194965
57,1,7194965
72,0,7194966
34,1,7194967
2,1,7194967
6,1,7194967
12,1,7194967
12,0,7194968
34,1,7194968
13,1,7194968
7,0,7194969
32,1,7194969
25,0,7194970
47,1,7194970
47,0,7194970
38,1,7194971
23,0,7194972
46,1,7194972
42,1,7194973
21,1,7194973
20,1,7194973
44,0,7194973
43,0,7194974
63,1,7194974
52,0,7194974
12,0,7194975
8,1,7194975
44,0,7194975
64,1,7194976
73,0,7194976
17,0,7194977
49,0,7194977
41,1,7194977
19,0,7194977
22,1,7194978
44,1,7194978
50,0,7194978
21,1,7194978
21,1,7194979
50,1,7194979
84,1,7194980
61,0,7194980
39,0,7194980
5,1,7194980
86,0,7194980
34,1,7194980
59,1,7194980
38,1,7196597
40,0,7196597
17,1,7196597
90,1,7196598
70,0,7197303
62,1,7197304
64,0,7197304
69,1,7197385
73,0,7197385
59,1,7199097
59,0,7199097
66,1,7199102
71,0,7199102
28,0,7199102
80,0,7199487
75,1,7200418
75,0,7200418
50,1,7200419
62,1,7200787
62,0,7200787
12,0,7200788
5,0,7200788
41,0,7200788
33,1,7200788
29,1,7201582
54,1,7201582
56,0,7201582
62,0,7203101
58,1,7203101
5,1,7203625
33,0,7203625
4,0,7203625
27,1,7203625
29,0,7203626
27,0,7203626
35,1,7203627
30,0,7203628
42,1,7203629
28,0,7203630
21,1,7203630
20,1,7203631
12,0,7203631
17,0,7203830
32,0,7203830
1,0,7203830
69,0,7203830
35,1,7203830
57,1,7203830
36,1,7203830
45,1,7203928
76,1,7203928
43,0,7203928
20,0,7203928
4,0,7203940
37,0,7203940
32,1,7203940
8,1,7203940
55,1,7204330
58,0,7204330
30,1,7204330
81,1,7204331
56,0,7204334
69,1,7204484
42,0,7205152
37,1,7205152
61,1,7205227
59,0,7205227
24,0,7205228
37,1,7205229
11,0,7205229
3,0,7205230
29,0,7205230
0,0,7205231
8,1,7205231
35,1,7205231
44,1,7205232
10,1,7205233
30,1,7205233
32,0,7205233
2,0,7205233
65,1,7205234
67,0,7205379
66,1,7205379
56,1,7205476
61,0,7205476
32,0,7205476
42,0,7205477
17,0,7205477
44,1,7205477
14,0,7205477
9,0,7205477
59,0,7205478
61,1,7205478
54,1,7205479
51,0,7205479
26,1,7205479
78,0,7206350
79,1,7206350
40,1,7206669
20,0,7206669
12,1,7206669
44,1,7206670
50,0,7206670
19,1,7206670
17,0,7206671
41,1,7206671
23,1,7206672
30,0,7206672
29,1,7206673
3,1,7206673
28,0,7206673
48,0,7206674
21,0,7206674
42,1,7206674
2,1,7206674
34,0,7206675
33,1,7206675
3,0,7206675
46,0,7206676
20,0,7206676
12,0,7206676
44,1,7206676
46,0,7206677
45,1,7206677
30,0,7206678
29,1,7206678
4,1,7206678
28,0,7206679
49,1,7206680
20,1,7206680
46,0,7206680
40,0,7206681
53,1,7206682
50,0,7206682
21,1,7206682
42,1,7206683
2,1,7206684
34,0,7206684
31,1,7206684
19,0,7206685
42,1,7206686
45,0,7206686
21,0,7206686
25,1,7206687
29,0,7206687
47,0,7206688
19,0,7206689
50,0,7206689
48,1,7206689
42,1,7206690
17,0,7206690
20,0,7206690
64,1,7206691
78,0,7207169
51,1,7207169
74,1,7207169
51,1,7207178
20,0,7207178
56,0,7207178
39,0,7207179
9,0,7207179
46,0,7207179
39,1,7207179
16,0,7207179
53,0,7207180
47,1,7207180
26,0,7207180
69,1,7207181
79,0,7207181
63,0,7208103
68,1,7208117
92,1,7208117
48,0,7208117
65,0,7208118
64,1,7208118
20,1,7208119
44,1,7208119
47,0,7208119
7,1,7208120
9,1,7208120
37,1,7208120
38,0,7208120
61,1,7208121
61,0,7208121
59,0,7208122
57,1,7208122
83,1,7208122
56,0,7214527
53,1,7214527
16,0,7215342
40,0,7215342
36,1,7215342
7,1,7215342
13,1,7215342
22,1,7216783
49,0,7216783
49,1,7216783
67,1,7217622
77,1,7217623
68,1,7217624
69,0,7217624
26,1,7217625
0,1,7217625
30,0,7217625
38,1,7217626
17,0,7217627
1,0,7217778
31,1,7217778
33,0,7217778
70,1,7217856
32,0,7217856
46,1,7218563
25,1,7218563
50,0,7218563
27,1,7218563
17,1,7218628
46,0,7218628
20,0,7218628
9,0,7218628
43,1,7218628
50,0,7219470
20,0,7219470
24,0,7219470
42,0,7220001
38,1,7220001
85,1,7220002
85,0,7220002
60,0,7220003
28,1,7220003
29,0,7220004
2,0,7220004
7,0,7220004
50,0,7220273
58,0,7220273
70,1,7220435
20,0,7220436
42,0,7220436
30,1,7220436
5,0,7220436
30,1,7222012
9,1,7222012
2,0,7222012
5,0,7222012
37,0,7222012
7,1,7222012
69,1,7222052
70,0,7222052
60,0,7222053
63,1,7222053
42,0,7222053
4,0,7222218
55,1,7222218
0,1,7222218
35,0,7222218
54,0,7222218
26,1,7222218
15,1,7222407
51,0,7222407
20,1,7222407
42,1,7222407
7,0,7222940
34,1,7222940
4,1,7222940
32,0,7222940
11,0,7222948
15,0,7222948
34,1,7222948
34,0,7222948
1,0,7222948
24,0,7222949
91,1,7222949
65,0,7222949
62,1,7222949
29,1,7222949
28,1,7222950
2,0,7222950
30,1,7222950
58,1,7222950
28,0,7222950
56,0,7222950
82,1,7223603
24,1,7223604
24,0,7223604
78,1,7223605
66,0,7223605
46,0,7223606
23,1,7223606
44,1,7223606
16,0,7223606
24,1,7223607
30,0,7223607
79,1,7223608
80,0,7223608
84,1,7223609
1,0,7223665
22,1,7223665
33,0,7223665
32,1,7223666
19,0,7223667
21,0,7223667
46,0,7223667
45,1,7223667
36,1,7223668
13,1,7223668
17,0,7223668
37,0,7223668
69,0,7223669
65,1,7223669
6,1,7223670
35,1,7223670
32,0,7223670
10,0,7223670
3,1,7223671
37,0,7223671
38,1,7223672
3,0,7223672
43,0,7223672
38,1,7223690
63,1,7223690
60,0,7223690
68,0,7224256
68,1,7224256
50,1,7224286
50,0,7224286
25,1,7224286
36,1,7225084
61,0,7225085
59,1,7225085
70,1,7225130
77,1,7225488
36,1,7225512
16,0,7225512
11,0,7225512
39,0,7225512
80,1,7225579
82,0,7225579
66,1,7225580
68,0,7225580
39,0,7225611
62,0,7225611
26,0,7225612
15,1,7225612
47,1,7225612
52,0,7225612
28,0,7225612
59,0,7226045
59,1,7226045
68,1,7226046
70,0,7226046
52,1,7226047
73,1,7226048
27,1,7226049
5,1,7226049
2,1,7226049
28,0,7226049
24,1,7226050
60,0,7226050
49,0,7226658
48,1,7226658
22,0,7226658
18,1,7226658
78,1,7226659
83,0,7226659
50,1,7226685
57,0,7226685
27,0,7226685
21,1,7226685
53,0,7226686
33,0,7226686
50,1,7226686
76,1,7226687
20,0,7226687
44,0,7226688
90,1,7226689
61,0,7226690
79,1,7226691
54,1,7226691
13,0,7226692
39,0,7226692
33,1,7226692
8,0,7226692
56,0,7226693
23,1,7226693
54,1,7226693
76,1,7226694
71,0,7226695
67,1,7226695
22,1,7227337
45,0,7227375
46,1,7227375
14,1,7227375
86,0,7227375
65,1,7227376
56,1,7228127
30,0,7228127
58,0,7228127
47,0,7228841
30,0,7229078
53,0,7229078
27,0,7229078
80,1,7229078
26,0,7229078
54,0,7229078
3,0,7229079
30,0,7229079
6,1,7229079
28,1,7229079
20,1,7229532
51,0,7229532
46,1,7229533
71,1,7230244
25,0,7230246
62,1,7230246
31,0,7231987
30,1,7231987
2,0,7231987
9,0,7231988
40,1,7231988
6,0,7231988
42,0,7231988
73,1,7232121
16,0,7233103
9,1,7233103
38,0,7233103
36,1,7233103
76,1,7233244
79,0,7233244
51,0,7233245
24,0,7233245
19,0,7233245
51,1,7233245
81,1,7233574
26,1,7233574
55,0,7233574
53,1,7233574
7,0,7233574
35,0,7234327
67,1,7234327
38,0,7234327
74,1,7234368
19,0,7234369
45,0,7234369
45,1,7234369
21,1,7234369
52,0,7234377
47,1,7234377
17,1,7234377
0,0,7234377
34,0,7234377
28,1,7234377
4,1,7234377
26,1,7235177
27,0,7235177
12,1,7235178
44,1,7235178
44,0,7235178
90,1,7235179
43,1,7235180
45,0,7235180
15,1,7235180
19,0,7235180
66,1,7235181
62,1,7235245
67,0,7235245
43,0,7235883
19,0,7235883
44,1,7235883
24,1,7235884
21,1,7235884
5,1,7235884
45,0,7235884
58,0,7235884
43,1,7235884
70,1,7236821
44,1,7237689
60,1,7237690
55,1,7237691
55,0,7237691
82,0,7237692
56,1,7237692
56,0,7237692
58,1,7237693
41,1,7237694
71,1,7237695
30,1,7237696
37,1,7237697
0,0,7237697
35,0,7237698
36,1,7237698
12,1,7237698
18,1,7237698
53,1,7237699
73,1,7237700
50,0,7237701
13,1,7237701
37,1,7237701
32,0,7237701
15,1,7237701
64,0,7237702
63,1,7237702
52,1,7237703
57,0,7237703
87,1,7237704
42,0,7237705
59,0,7237706
55,1,7237706
27,0,7237707
47,0,7237708
4,1,7237709
34,1,7237709
63,1,7237710
10,0,7237711
33,0,7237711
31,1,7237711
61,0,7239829
59,1,7239829
12,1,7239830
33,1,7239830
8,0,7239830
76,1,7239831
84,0,7239831
54,0,7240817
54,1,7240817
87,0,7241684
60,1,7241685
61,0,7241685
24,1,7241685
23,0,7241827
50,1,7241827
52,0,7241827
73,1,7241827
79,1,7243598
81,1,7243599
77,0,7243600
72,1,7243600
34,1,7243635
39,0,7243635
8,0,7243635
32,1,7243883
12,1,7244880
40,1,7244880
9,0,7244880
45,0,7244880
25,1,7244881
25,0,7244881
23,1,7244882
19,1,7244882
21,1,7244882
46,1,7244882
47,0,7244882
31,1,7244959
8,1,7244959
6,0,7244959
37,0,7244959
24,1,7244960
22,0,7244960
58,0,7244961
35,0,7244961
18,0,7244962
27,0,7244962
24,0,7244962
48,1,7244962
52,0,7244962
53,1,7244963
59,0,7244963
20,1,7244963
67,0,7245982
64,1,7245982
64,1,7247119
34,0,7247119
63,0,7247119
44,0,7249646
17,0,7249646
42,1,7249646
21,0,7249646
4,1,7249647
0,1,7249647
38,0,7249647
37,1,7249647
12,0,7250273
46,1,7250273
45,0,7250273
6,0,7250273
69,0,7250274
68,0,7252824
64,1,7252824
2,1,7252825
24,1,7252825
31,0,7252825
64,0,7252826
65,1,7252826
61,1,7252827
59,0,7252827
57,1,7252828
81,0,7252829
80,1,7252829
58,0,7252830
59,1,7252831
22,0,7252831
61,0,7252831
72,1,7252832
70,0,7252832
78,1,7252833
85,1,7252834
31,1,7252835
37,0,7252835
9,1,7252835
6,0,7252835
72,0,7252836
66,1,7252836
37,0,7253073
64,0,7253073
58,1,7253073
76,1,7253074
76,0,7253074
43,0,7253169
80,1,7253169
77,1,7254285
78,0,7254285
62,0,7254597
53,1,7254718
26,1,7254718
55,0,7254718
0,1,7254719
79,1,7254719
28,0,7254976
54,1,7254976
26,0,7254976
42,1,7255779
49,0,7255779
21,1,7255779
43,1,7255925
45,0,7255925
22,0,7255925
63,1,7255926
67,0,7255926
72,1,7255927
75,0,7255927
65,1,7255928
45,1,7255929
67,1,7255929
70,0,7255929
56,1,7255930
69,1,7255931
24,1,7255932
45,1,7255932
28,1,7255932
6,0,7255932
48,0,7255932
70,1,7255933
74,0,7255933
68,1,7255934
75,1,7255935
4,0,7255935
9,1,7255935
39,1,7255935
37,0,7255935
25,0,7256031
50,0,7256031
49,1,7256031
11,0,7256031
23,0,7256031
45,1,7256032
60,0,7256032
11,0,7256032
88,1,7256033
5,1,7256034
37,1,7256034
60,1,7256035
25,1,7256035
51,0,7256035
42,0,7256035
69,1,7256036
17,1,7256037
8,0,7256037
46,1,7256037
38,0,7256038
1,0,7256039
26,0,7256039
27,1,7256039
52,1,7257957
31,0,7257957
53,0,7257957
53,1,7258041
54,0,7258041
25,1,7258042
50,1,7258042
30,0,7258042
52,0,7258042
53,1,7259144
28,0,7259144
57,0,7259144
66,0,7259145
63,1,7259145
74,1,7259146
18,1,7260342
42,0,7260342
15,1,7260342
36,1,7260342
27,1,7261033
26,1,7261033
46,1,7261033
61,1,7261046
65,1,7261047
66,1,7261607
2,0,7261611
35,1,7261611
15,1,7261611
34,0,7261611
49,0,7261817
28,0,7262051
50,1,7262051
56,0,7262051
29,0,7262084
55,1,7262084
90,0,7262085
58,1,7263272
0,1,7263294
36,0,7263294
26,1,7263294
46,0,7263295
81,0,7263425
54,0,7264331
49,1,7264331
25,1,7264331
40,1,7264471
21,0,7264471
20,0,7264471
43,0,7264471
20,0,7264471
23,0,7264471
58,0,7266362
57,1,7266362
37,1,7266526
39,0,7266526
5,0,7266526
13,1,7266526
62,0,7266527
60,1,7266527
55,1,7267698
57,0,7267698
87,1,7268203
30,0,7268428
37,1,7268428
55,1,7268428
41,0,7268429
12,1,7268429
17,1,7268429
3,0,7268429
27,1,7268429
30,1,7268431
32,0,7268431
9,1,7268753
38,1,7268753
35,0,7268753
6,1,7268753
61,0,7268754
61,1,7268754
57,0,7269186
27,0,7269186
55,1,7269186
65,0,7269286
60,1,7269286
43,0,7269716
69,1,7269716
27,0,7269717
49,1,7269717
3,1,7269718
22,1,7269718
29,0,7269718
3,1,7269718
4,1,7269719
29,1,7269719
31,0,7269719
1,1,7269719
80,0,7269720
52,1,7269721
56,0,7269721
31,1,7269721
30,0,7270574
0,0,7270574
34,1,7270574
8,0,7270574
42,0,7270575
66,0,7270575
44,0,7270619
70,0,7270619
69,1,7270619
52,1,7271405
56,0,7271405
21,1,7271405
38,0,7273018
19,1,7273018
55,0,7273019
67,0,7273020
57,1,7273021
57,0,7273021
33,1,7273022
9,0,7273022
13,0,7273022
44,1,7273023
30,0,7273083
68,1,7273083
70,0,7273083
55,1,7274342
75,1,7274342
28,0,7274342
70,0,7274667
67,1,7274667
51,1,7274668
29,0,7274668
56,0,7274668
20,0,7274669
39,1,7274669
44,0,7274669
36,1,7274670
16,1,7274670
8,0,7274670
39,0,7274670
33,1,7274671
35,0,7274671
16,0,7274671
4,0,7274671
8,1,7274671
29,1,7274672
58,0,7274672
60,1,7274672
24,0,7274672
39,0,7274673
70,0,7274674
69,1,7274674
43,0,7274675
20,1,7274675
39,1,7274675
62,0,7274676
31,1,7274676
56,1,7274676
59,1,7275409
61,0,7275409
34,1,7275410
2,1,7275410
37,0,7275410
68,1,7275411
73,0,7275412
70,1,7275412
20,0,7275413
48,0,7275413
45,1,7275413
54,1,7275413
31,1,7275414
3,1,7275414
37,0,7275414
37,1,7275575
7,1,7275575
1,0,7275576
33,0,7275576
34,1,7275576
24,1,7275577
53,1,7275577
9,1,7275577
30,1,7275577
0,1,7275578
32,0,7275578
31,1,7275578
42,1,7275579
45,0,7275579
55,0,7275580
46,1,7275580
21,0,7275580
19,0,7275580
8,1,7275580
55,1,7275581
2,0,7275582
40,0,7275582
35,1,7275582
24,1,7275583
58,0,7275583
21,1,7275583
45,1,7275583
56,0,7275584
49,1,7275584
68,0,7275585
54,1,7275585
26,0,7275585
27,0,7275586
53,0,7275587
54,1,7275587
51,0,7275588
43,1,7275588
53,0,7275589
38,1,7275589
17,1,7275589
8,1,7275589
25,1,7276740
55,0,7276740
53,1,7276740
3,1,7277101
32,0,7277101
29,1,7277101
54,1,7277313
64,0,7277313
61,1,7277314
34,0,7277314
59,0,7277314
80,1,7281103
66,0,7281311
35,0,7281312
58,1,7281312
57,0,7281312
65,1,7281313
81,0,7281313
46,0,7281314
17,1,7281314
41,1,7281314
21,0,7281315
46,1,7281315
62,1,7281377
59,0,7281377
34,0,7281377
36,0,7281377
42,0,7281378
76,1,7281378
79,0,7281378
35,1,7281654
34,0,7281654
35,0,7281655
31,1,7281655
55,1,7281656
60,0,7281656
49,1,7281657
50,0,7281657
17,0,7281657
21,1,7281658
61,0,7281658
54,1,7281658
26,0,7281659
23,1,7281659
70,1,7281660
11,0,7281661
4,1,7281661
39,0,7281661
32,1,7281661
37,0,7281662
34,1,7281662
4,0,7281662
74,0,7281663
73,1,7281663
48,0,7282624
81,1,7282624
62,1,7283573
66,0,7283574
65,1,7283574
54,1,7283575
65,0,7283576
72,0,7283804
56,1,7284447
10,0,7284448
53,1,7284448
36,1,7284450
17,1,7284450
41,0,7284450
13,0,7284450
51,1,7284451
17,0,7284451
20,0,7284452
41,1,7284452
44,0,7284452
17,0,7284452
63,1,7284453
69,0,7284453
71,1,7284454
70,0,7284454
