T,betafactor
20,0.584896246639937
27,0.7039581832869319
34,0.685318935493498
41,0.6732948241448871
48,0.664125101058794
55,0.64973729991458
62,0.6334741634892529
69,0.616915473846966
76,0.600454986026561
83,0.589758293360473
90,0.58148732634377
97,0.563498685923227
104,0.541803537921853
111,0.527026889031336
118,0.514513157576816
125,0.49467643909265996
132,0.48272005809794105
139,0.475057316766504
146,0.4673945754350661
153,0.461518232908211
160,0.45635644990318897
167,0.45119466689816706
174,0.45430517364914097
181,0.46072459630251505
188,0.4671440189558879
195,0.48269592839167497
202,0.5016501223265291
209,0.507236665166383
216,0.5075182321953979
223,0.5246749840071641
230,0.548233737985357
237,0.554495952957371
244,0.5867487820011489
251,0.5997185718596221
258,0.5997185718596221
265,0.5997185718596221
272,0.5997185718596221
279,0.5997185718596221
286,0.5997185718596221
293,0.5997185718596221
300,0.5997185718596221
307,0.5997185718596221
314,0.5997185718596221
321,0.5997185718596221
