T,theta_Is
0,0.0
1,0.0
2,0.0
3,0.0
4,0.07176290182550482
5,0.06115679647314709
6,0.10024592483758688
7,0.14259608083955877
8,0.06449301496838222
9,0.06657777765522199
10,0.08916550977023951
11,0.12195532457382763
12,0.08588795809349192
13,0.09411537164387085
14,0.09586982381974973
15,0.10505456527092338
16,0.10117476852839113
17,0.09875265398376953
18,0.10558967165241129
19,0.09972494443509972
20,0.10895935858812844
21,0.10756179742225758
22,0.11130394738538263
23,0.10278794036967243
24,0.11656510256734776
25,0.13207108449615013
26,0.11909852834068102
27,0.13609509955917432
28,0.1375715864824314
29,0.14937131657499703
30,0.13188966998608154
31,0.12501670881843663
32,0.16430133504007383
33,0.154147863570415
34,0.17881551023518394
35,0.1386664470891622
36,0.1323965276621113
37,0.15842540176102715
38,0.16818829855111406
39,0.193819127813332
40,0.14486379846530828
41,0.21941092659272177
42,0.2037548007121872
43,0.1439174505168147
44,0.1572649474957971
45,0.16578897593739883
46,0.17540023430824714
47,0.16599689350416835
48,0.20247679206801283
49,0.15248028416041393
50,0.19559069926419836
51,0.12083956565512766
52,0.20161597496911154
53,0.23498293855142538
54,0.22119921692859512
55,0.248522706924714
56,0.2344613478840608
57,0.19926259708319194
58,0.1928822529946107
59,0.19466331386799574
60,0.1856435771103686
61,0.17185865162746894
62,0.16569765662800662
63,0.1440604765877348
64,0.15559044475847628
65,0.14814380596489785
66,0.17063652847943211
67,0.235316061586199
68,0.1849823051833197
69,0.17566791804739634
70,0.18545711885751637
71,0.19538494167464715
72,0.17205718319477092
73,0.17597003718711546
74,0.28043896323056794
75,0.17924519170173192
76,0.1731092069626724
77,0.19832551421416544
78,0.1502309715633653
79,0.1552163321620329
80,0.14668002931705582
81,0.321421494591991
82,0.24474644704687043
83,0.20546639749666595
84,0.155502991021799
85,0.18284221618426522
86,0.21292884344725072
87,0.17097088181959963
88,0.2106608004289331
89,0.169049610098708
90,0.23649932469755686
91,0.1729361810597595
92,0.14327575097371992
93,0.16138201666292595
94,0.2632860248616008
95,0.2139546104811042
96,0.15722278439124038
97,0.17946785985237323
98,0.1409247286993538
99,0.18382378697766022
100,0.25090456639524916
101,0.20230375332539752
102,0.20235126210991494
103,0.19037177990815002
104,0.20811043366321835
105,0.21918940957011301
106,0.13988134773980887
107,0.17343456237576194
108,0.17366204701382615
109,0.177943331027131
110,0.17237008674992926
111,0.1898422650675733
112,0.17324253881114182
113,0.18412030875932905
114,0.15351827510938587
115,0.1687448419415145
116,0.2106986902260971
117,0.15617598634463092
118,0.20930935783423643
119,0.16164680158416023
120,0.17981458798587635
121,0.21698569724327077
122,0.29975278295500796
123,0.20582598151996634
124,0.19070696028841327
125,0.19178547677108748
126,0.14108329863308966
127,0.18587809299726887
128,0.15534850515211585
129,0.17820284318489366
130,0.18545711885751637
131,0.15766861175944935
132,0.16510651723516045
133,0.17895971177128855
134,0.16366280528291266
135,0.15162246016771164
136,0.22571399139631632
137,0.15771916832639576
138,0.16888457526510914
139,0.19443889233227862
140,0.15351827510938587
141,0.17097088181959963
142,0.17390440203207125
143,0.17343456237576194
144,0.18429597453348956
145,0.1662470819248194
146,0.22077306055998003
147,0.19421064279206413
148,0.18541632542413855
149,0.17920261591088182
150,0.17244996995176387
151,0.2102826467007718
152,0.1633519472807642
153,0.2029541711801338
154,0.19977084041929205
155,0.17170033986154387
156,0.1732603835885813
157,0.17924519170173192
158,0.18561593010309285
159,0.1722709595022286
160,0.19342087008973397
161,0.17207619713048583
162,0.17994764793018003
163,0.17256092119609645
164,0.18769980158292277
165,0.19458766165827412
166,0.16770186563114287
167,0.18904282713427056
168,0.1773259396412149
169,0.1515237812310466
170,0.17692178786060575
171,0.16682327604014802
172,0.19183653807233725
173,0.17939034756650019
174,0.20329653010653836
175,0.1935463348443236
176,0.1669542086076249
177,0.1620994786866199
178,0.18308439010620192
179,0.20788256582665676
180,0.1785592886678825
181,0.1929389385827467
182,0.20453531752630327
183,0.17675147853470108
184,0.16515184015370776
185,0.179325288784551
186,0.20930476067534476
187,0.1968092090769995
188,0.17918507981590737
189,0.18253063442879447
190,0.1661835990057443
191,0.15505036831046537
192,0.18126924692201818
193,0.20614321967923677
194,0.1797619846301668
195,0.1837974922173402
196,0.1767300359228391
197,0.16322279346988167
198,0.16247852124662943
199,0.17157108093384899
200,0.18223402012370704
201,0.16928803353624167
202,0.17122211083697447
203,0.16544652075809163
204,0.15665132524427083
205,0.15455146976294265
206,0.16458323710012923
207,0.17128948183803672
208,0.1720877392228939
209,0.1786320307286403
210,0.16970872151789418
211,0.16250598238842862
212,0.14641760575741058
213,0.16005061595990722
214,0.16751695269946554
215,0.16403027054696018
216,0.17263847199605775
217,0.17124354391817098
218,0.15523479446750743
219,0.15406606424443425
220,0.17421845461749552
221,0.18565636947346997
222,0.17100506264724047
223,0.1731181736953662
224,0.17551222397600952
225,0.17295245948034144
226,0.16604977966778078
227,0.1809251701239385
228,0.20231307103895957
229,0.19367476138171635
230,0.2048032162914516
231,0.20988472108688172
232,0.22101922764364412
233,0.22487837456069637
234,0.26488543179626656
235,0.33449184366921547
