T,masks
20,0.8733158323443921
27,0.8733158323443921
34,0.9561017533465809
41,0.9561017533465809
48,0.9462455280772281
55,0.9462455280772281
62,0.9462992537505759
69,0.9462992537505759
76,0.9374793605478141
83,0.9374793605478141
90,0.8841474287328801
97,0.8841474287328801
104,0.7719305901564508
111,0.7719305901564508
118,0.712500139779636
125,0.712500139779636
132,0.499490152573974
139,0.286480165368312
146,0.286480165368312
153,0.29833812778293395
160,0.310196090197556
167,0.310196090197556
174,0.31964200805246196
181,0.32908792590736796
188,0.32908792590736796
195,0.5541336750542509
202,0.779179424201133
209,0.779179424201133
216,0.8223461124456809
223,0.8223461124456809
230,0.8599089725427701
237,0.8599089725427701
244,0.891673960902738
251,0.891673960902738
258,0.889526375498719
265,0.889526375498719
272,0.882379053067593
279,0.882379053067593
286,0.8626014170047891
293,0.8626014170047891
300,0.865102348787218
307,0.865102348787218
314,0.8554475976010608
321,0.8554475976010608
