X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799E-092,0.0000120585150153575,3.16436833811157E-125
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000134955577649482,7.64591325099167E-079,2.38392072802515E-065
0,0,0.00234637686667802,0.00235305140133057,0.0037750242688087,0.00108472744704349,0.00958997760169556,0.00285873692480132,0.0102608799345348,0.00602571323952647,0.00229545617009057,0.00000000288568404219122,1.4368204770459E-018,2.79780317050874E-053,0.00000495800769991485,3.77718082671442E-102
0,0,0.00419396692088287,0.332899090823331,0.400800527170328,0.228912721766781,0.23084514043285,0.224455616888285,0.255702499797976,0.203790597171377,0.1151327839343,0.0278858890666993,0.00267965636454666,0.00000834699601569499,0.00000285972822398043,1.8892612209825E-031
0,0,0.0082469083890404,0.270136106136897,0.785627382407425,0.747737641738319,0.675086797192766,0.778020941036619,0.600696740830557,0.486346755787591,0.357252749598572,0.08377895757274,0.0110880681968962,0.00000986113406685426,0.0000132609387026297,0.00000374318048013413
0,0,0.0105329031119607,0.235803406504991,0.742500294561635,1.24173695975403,0.961181125342761,0.981598516729223,0.927331258943185,0.657249104616042,0.519758118700765,0.122567288518861,0.0146876892320735,0.0000160674627209247,0.0000101182607649525,0.00000301442534314934
0,0,0.0129098412191769,0.137847132806482,0.556538901080477,0.911284029174369,1.29004037983862,1.18338294578071,1.08448071498363,0.895063449271314,0.519405392484426,0.154685000875161,0.0148770986360317,0.0000163795562861678,0.00000410100850711255,0.00000349478980213195
0,0,0.0083041485514881,0.287593625313679,0.482898655285444,0.895299736990179,1.03707305356991,1.49897010736862,1.49124062952704,1.04322050899634,0.730763012505557,0.148416234756598,0.0110284103563738,0.0000122988529792325,0.00000913512833417088,0.00000602097415838912
0,0,0.0095959108257619,0.183675534047669,0.581232335298527,0.905483337045401,1.15530787138204,1.29323773137253,1.62019871739807,1.31602805801742,0.909980699177495,0.161141250492278,0.0165365367000024,0.0000143626161051225,0.000010272156668633,0.0000129503893416799
0,0,0.01294270467393,0.232095045277046,0.400460900925588,0.688101275235761,0.95436779054611,1.09750717978983,1.16109099216911,1.14556194880822,0.70989351890781,0.184374800854103,0.0133150350581751,0.0000162810370309725,0.0000108243610478748,0.00000609172338735697
0,0,0.0132110232975079,0.163887120775361,0.314677736555098,0.65447148775429,0.825257908350941,0.898895525725294,1.24471314110433,1.2137139919736,0.887084327163547,0.219662794587206,0.0150224602595867,0.0000118079721296951,0.0000118226645434458,0.0000101613164687284
0,0,0.0107022923475049,0.0579023220803346,0.111474448494343,0.203629603799641,0.306266999796656,0.302057971809059,0.394876973110153,0.314896725242522,0.280865369878429,0.0897041528760839,0.00745060498652753,0.0000134978303537199,0.00000658739925151983,0.00000665716755912865
0,0,0.00153245188526355,0.00333028382899214,0.0187935182204246,0.0332663141921729,0.0396411228031399,0.0490032699681538,0.05418302248625,0.0534843705890027,0.0393141819896172,0.0154894755689843,0.00108401290292592,0.0000203019580125905,0.00000826102155746138,0.0000148398182163668
0.00000760299521145736,0.00000336326753855134,0.00000764855295622674,0.0000227621532264405,0.0000314933351214398,0.0000789308410220945,0.0000724212841810556,0.0000291748202958044,0.0000661873731914089,0.0000595693237614859,0.0000770713499676886,0.0000530687747550547,0.0000466030116729831,0.0000141633235369618,0.0000249066205094463,0.0000119109037525741
5.78863840280149E-055,7.88785149416723E-042,0.00000254830412385497,0.0000260648190953352,0.0000168036205292059,0.0000212446738801606,0.0000357267602914169,0.00004023770328994,0.0000356401934838515,0.0000309769252220888,0.0000213053382126404,0.0000449709413682317,0.0000261368372879117,0.0000168266203450558,0.0000166514322038967,0.0000260822813286115
2.3572127101662E-141,9.06871674094152E-097,1.18637122150631E-089,9.39934076423345E-022,0.0000466000451729006,0.000046966401121415,0.0000469316082196987,0.0000842184043793238,0.0000277788167870324,0.0000103294377711226,0.0000106803617525547,7.26341826022827E-075,1.1007397129367E-065,0.0000102831671225411,5.16902993520797E-049,8.28040508722867E-043
