layer,sublayer,vertex1,vertex2,probability,intensity
1,0,1593,1495,1.0,1.0
1,0,1593,1497,1.0,1.0
1,0,1593,1507,1.0,1.0
1,0,1593,1509,1.0,1.0
1,0,1593,1514,1.0,1.0
1,0,1593,1520,1.0,1.0
1,0,1593,1522,1.0,1.0
1,0,1593,1531,1.0,1.0
1,0,1593,1538,1.0,1.0
1,0,1593,1539,1.0,1.0
1,0,1593,1541,1.0,1.0
1,0,1593,1557,1.0,1.0
1,0,1593,1558,1.0,1.0
1,0,1593,1563,1.0,1.0
1,0,1593,1575,1.0,1.0
1,0,1593,1576,1.0,1.0
1,0,1593,1583,1.0,1.0
1,0,1593,1617,1.0,1.0
1,0,1593,1618,1.0,1.0
1,0,1557,1490,1.0,1.0
1,0,1557,1495,1.0,1.0
1,0,1557,1497,1.0,1.0
1,0,1557,1506,1.0,1.0
1,0,1557,1507,1.0,1.0
1,0,1557,1509,1.0,1.0
1,0,1557,1514,1.0,1.0
1,0,1557,1519,1.0,1.0
1,0,1557,1520,1.0,1.0
1,0,1557,1522,1.0,1.0
1,0,1557,1531,1.0,1.0
1,0,1557,1538,1.0,1.0
1,0,1557,1539,1.0,1.0
1,0,1557,1541,1.0,1.0
1,0,1557,1558,1.0,1.0
1,0,1557,1563,1.0,1.0
1,0,1575,1557,1.0,1.0
1,0,1557,1576,1.0,1.0
1,0,1557,1583,1.0,1.0
1,0,1603,1557,1.0,1.0
1,0,1557,1617,1.0,1.0
1,0,1557,1618,1.0,1.0
1,0,1539,1490,1.0,1.0
1,0,1539,1495,1.0,1.0
1,0,1539,1497,1.0,1.0
1,0,1539,1506,1.0,1.0
1,0,1539,1507,1.0,1.0
1,0,1539,1519,1.0,1.0
1,0,1539,1520,1.0,1.0
1,0,1539,1522,1.0,1.0
1,0,1539,1538,1.0,1.0
1,0,1539,1556,1.0,1.0
1,0,1539,1575,1.0,1.0
1,0,1583,1539,1.0,1.0
1,0,1539,1617,1.0,1.0
1,0,1539,1618,1.0,1.0
1,0,1603,1509,1.0,1.0
1,0,1603,1522,1.0,1.0
1,0,1603,1538,1.0,1.0
1,0,1603,1539,1.0,1.0
1,0,1603,1556,1.0,1.0
1,0,1603,1558,1.0,1.0
1,0,1603,1575,1.0,1.0
1,0,1603,1576,1.0,1.0
1,0,1603,1618,1.0,1.0
1,0,1514,1490,1.0,1.0
1,0,1514,1495,1.0,1.0
1,0,1514,1497,1.0,1.0
1,0,1514,1506,1.0,1.0
1,0,1514,1507,1.0,1.0
1,0,1514,1509,1.0,1.0
1,0,1514,1519,1.0,1.0
1,0,1520,1514,1.0,1.0
1,0,1522,1514,1.0,1.0
1,0,1531,1514,1.0,1.0
1,0,1538,1514,1.0,1.0
1,0,1514,1539,1.0,1.0
1,0,1541,1514,1.0,1.0
1,0,1514,1556,1.0,1.0
1,0,1514,1558,1.0,1.0
1,0,1514,1563,1.0,1.0
1,0,1575,1514,1.0,1.0
1,0,1514,1576,1.0,1.0
1,0,1583,1514,1.0,1.0
1,0,1514,1603,1.0,1.0
1,0,1514,1617,1.0,1.0
1,0,1514,1618,1.0,1.0
1,0,1497,1490,1.0,1.0
1,0,1506,1497,1.0,1.0
1,0,1497,1507,1.0,1.0
1,0,1519,1497,1.0,1.0
1,0,1520,1497,1.0,1.0
1,0,1522,1497,1.0,1.0
1,0,1497,1531,1.0,1.0
1,0,1541,1497,1.0,1.0
1,0,1497,1558,1.0,1.0
1,0,1497,1575,1.0,1.0
1,0,1497,1576,1.0,1.0
1,0,1583,1497,1.0,1.0
1,0,1497,1617,1.0,1.0
1,0,1497,1618,1.0,1.0
1,0,1531,1495,1.0,1.0
1,0,1531,1522,1.0,1.0
1,0,1531,1556,1.0,1.0
1,0,1531,1558,1.0,1.0
1,0,1531,1563,1.0,1.0
1,0,1531,1575,1.0,1.0
1,0,1531,1576,1.0,1.0
1,0,1583,1531,1.0,1.0
1,0,1531,1603,1.0,1.0
1,0,1531,1617,1.0,1.0
1,0,1520,1490,1.0,1.0
1,0,1520,1506,1.0,1.0
1,0,1520,1507,1.0,1.0
1,0,1520,1556,1.0,1.0
1,0,1520,1618,1.0,1.0
1,0,1583,1490,1.0,1.0
1,0,1583,1495,1.0,1.0
1,0,1583,1507,1.0,1.0
1,0,1583,1509,1.0,1.0
1,0,1583,1522,1.0,1.0
1,0,1583,1538,1.0,1.0
1,0,1583,1541,1.0,1.0
1,0,1583,1558,1.0,1.0
1,0,1583,1563,1.0,1.0
1,0,1583,1575,1.0,1.0
1,0,1583,1576,1.0,1.0
1,0,1583,1617,1.0,1.0
1,0,1583,1618,1.0,1.0
1,0,1490,1495,1.0,1.0
1,0,1506,1490,1.0,1.0
1,0,1490,1507,1.0,1.0
1,0,1519,1490,1.0,1.0
1,0,1490,1531,1.0,1.0
1,0,1538,1490,1.0,1.0
1,0,1490,1556,1.0,1.0
1,0,1490,1575,1.0,1.0
1,0,1490,1617,1.0,1.0
1,0,1519,1506,1.0,1.0
1,0,1519,1520,1.0,1.0
1,0,1519,1558,1.0,1.0
1,0,1519,1593,1.0,1.0
1,0,1519,1617,1.0,1.0
1,0,1519,1618,1.0,1.0
1,0,1538,1495,1.0,1.0
1,0,1538,1497,1.0,1.0
1,0,1538,1506,1.0,1.0
1,0,1538,1507,1.0,1.0
1,0,1538,1520,1.0,1.0
1,0,1538,1522,1.0,1.0
1,0,1538,1531,1.0,1.0
1,0,1541,1538,1.0,1.0
1,0,1538,1556,1.0,1.0
1,0,1538,1558,1.0,1.0
1,0,1538,1563,1.0,1.0
1,0,1575,1538,1.0,1.0
1,0,1538,1576,1.0,1.0
1,0,1538,1617,1.0,1.0
1,0,1538,1618,1.0,1.0
1,0,1506,1507,1.0,1.0
1,0,1506,1509,1.0,1.0
1,0,1522,1506,1.0,1.0
1,0,1506,1531,1.0,1.0
1,0,1541,1506,1.0,1.0
1,0,1506,1556,1.0,1.0
1,0,1506,1576,1.0,1.0
1,0,1506,1603,1.0,1.0
1,0,1506,1617,1.0,1.0
1,0,1506,1618,1.0,1.0
1,0,1575,1495,1.0,1.0
1,0,1575,1509,1.0,1.0
1,0,1575,1522,1.0,1.0
1,0,1575,1558,1.0,1.0
1,0,1575,1563,1.0,1.0
1,0,1575,1576,1.0,1.0
1,0,1522,1490,1.0,1.0
1,0,1522,1495,1.0,1.0
1,0,1522,1507,1.0,1.0
1,0,1522,1509,1.0,1.0
1,0,1522,1519,1.0,1.0
1,0,1522,1520,1.0,1.0
1,0,1541,1522,1.0,1.0
1,0,1522,1556,1.0,1.0
1,0,1522,1558,1.0,1.0
1,0,1522,1563,1.0,1.0
1,0,1522,1576,1.0,1.0
1,0,1522,1617,1.0,1.0
1,0,1522,1618,1.0,1.0
1,0,1541,1490,1.0,1.0
1,0,1541,1495,1.0,1.0
1,0,1541,1507,1.0,1.0
1,0,1541,1509,1.0,1.0
1,0,1541,1519,1.0,1.0
1,0,1541,1520,1.0,1.0
1,0,1541,1531,1.0,1.0
1,0,1541,1539,1.0,1.0
1,0,1541,1556,1.0,1.0
1,0,1541,1558,1.0,1.0
1,0,1541,1563,1.0,1.0
1,0,1541,1575,1.0,1.0
1,0,1541,1576,1.0,1.0
1,0,1541,1603,1.0,1.0
1,0,1541,1617,1.0,1.0
1,0,1541,1618,1.0,1.0
1,0,1541,1558,1.0,1.0
1,0,1614,1502,1.0,1.0
1,0,1614,1505,1.0,1.0
1,0,1614,1515,1.0,1.0
1,0,1614,1530,1.0,1.0
1,0,1614,1542,1.0,1.0
1,0,1614,1543,1.0,1.0
1,0,1614,1560,1.0,1.0
1,0,1614,1569,1.0,1.0
1,0,1614,1570,1.0,1.0
1,0,1614,1584,1.0,1.0
1,0,1614,1591,1.0,1.0
1,0,1614,1600,1.0,1.0
1,0,1614,1607,1.0,1.0
1,0,1614,1619,1.0,1.0
1,0,1614,1623,1.0,1.0
1,0,1614,1624,1.0,1.0
1,0,1569,1496,1.0,1.0
1,0,1569,1502,1.0,1.0
1,0,1569,1505,1.0,1.0
1,0,1569,1510,1.0,1.0
1,0,1569,1515,1.0,1.0
1,0,1569,1518,1.0,1.0
1,0,1569,1530,1.0,1.0
1,0,1569,1542,1.0,1.0
1,0,1569,1543,1.0,1.0
1,0,1569,1560,1.0,1.0
1,0,1569,1570,1.0,1.0
1,0,1569,1579,1.0,1.0
1,0,1569,1584,1.0,1.0
1,0,1569,1591,1.0,1.0
1,0,1569,1596,1.0,1.0
1,0,1569,1600,1.0,1.0
1,0,1607,1569,1.0,1.0
1,0,1569,1609,1.0,1.0
1,0,1569,1619,1.0,1.0
1,0,1569,1620,1.0,1.0
1,0,1621,1569,1.0,1.0
1,0,1569,1623,1.0,1.0
1,0,1569,1624,1.0,1.0
1,0,1625,1569,1.0,1.0
1,0,1620,1502,1.0,1.0
1,0,1620,1510,1.0,1.0
1,0,1620,1518,1.0,1.0
1,0,1620,1570,1.0,1.0
1,0,1620,1579,1.0,1.0
1,0,1620,1584,1.0,1.0
1,0,1620,1596,1.0,1.0
1,0,1620,1609,1.0,1.0
1,0,1621,1620,1.0,1.0
1,0,1623,1620,1.0,1.0
1,0,1505,1502,1.0,1.0
1,0,1505,1619,1.0,1.0
1,0,1623,1496,1.0,1.0
1,0,1623,1502,1.0,1.0
1,0,1623,1505,1.0,1.0
1,0,1623,1510,1.0,1.0
1,0,1623,1518,1.0,1.0
1,0,1623,1530,1.0,1.0
1,0,1623,1542,1.0,1.0
1,0,1623,1560,1.0,1.0
1,0,1623,1570,1.0,1.0
1,0,1623,1579,1.0,1.0
1,0,1623,1584,1.0,1.0
1,0,1623,1591,1.0,1.0
1,0,1623,1596,1.0,1.0
1,0,1623,1600,1.0,1.0
1,0,1623,1607,1.0,1.0
1,0,1623,1609,1.0,1.0
1,0,1623,1621,1.0,1.0
1,0,1623,1624,1.0,1.0
1,0,1625,1623,1.0,1.0
1,0,1515,1502,1.0,1.0
1,0,1515,1505,1.0,1.0
1,0,1530,1515,1.0,1.0
1,0,1515,1542,1.0,1.0
1,0,1543,1515,1.0,1.0
1,0,1560,1515,1.0,1.0
1,0,1515,1570,1.0,1.0
1,0,1591,1515,1.0,1.0
1,0,1515,1600,1.0,1.0
1,0,1607,1515,1.0,1.0
1,0,1515,1609,1.0,1.0
1,0,1515,1619,1.0,1.0
1,0,1515,1620,1.0,1.0
1,0,1625,1515,1.0,1.0
1,0,1607,1502,1.0,1.0
1,0,1607,1505,1.0,1.0
1,0,1607,1510,1.0,1.0
1,0,1607,1518,1.0,1.0
1,0,1607,1530,1.0,1.0
1,0,1607,1543,1.0,1.0
1,0,1607,1560,1.0,1.0
1,0,1607,1570,1.0,1.0
1,0,1607,1591,1.0,1.0
1,0,1607,1600,1.0,1.0
1,0,1607,1609,1.0,1.0
1,0,1607,1619,1.0,1.0
1,0,1560,1502,1.0,1.0
1,0,1560,1510,1.0,1.0
1,0,1560,1530,1.0,1.0
1,0,1560,1542,1.0,1.0
1,0,1560,1543,1.0,1.0
1,0,1560,1570,1.0,1.0
1,0,1560,1584,1.0,1.0
1,0,1560,1591,1.0,1.0
1,0,1560,1600,1.0,1.0
1,0,1560,1609,1.0,1.0
1,0,1560,1619,1.0,1.0
1,0,1621,1560,1.0,1.0
1,0,1560,1624,1.0,1.0
1,0,1625,1560,1.0,1.0
1,0,1543,1530,1.0,1.0
1,0,1530,1591,1.0,1.0
1,0,1530,1619,1.0,1.0
1,0,1584,1542,1.0,1.0
1,0,1584,1600,1.0,1.0
1,0,1584,1609,1.0,1.0
1,0,1584,1624,1.0,1.0
1,0,1621,1502,1.0,1.0
1,0,1621,1510,1.0,1.0
1,0,1621,1518,1.0,1.0
1,0,1621,1543,1.0,1.0
1,0,1621,1579,1.0,1.0
1,0,1621,1591,1.0,1.0
1,0,1621,1596,1.0,1.0
1,0,1621,1609,1.0,1.0
1,0,1621,1619,1.0,1.0
1,0,1625,1621,1.0,1.0
1,0,1625,1496,1.0,1.0
1,0,1625,1502,1.0,1.0
1,0,1625,1505,1.0,1.0
1,0,1625,1510,1.0,1.0
1,0,1625,1518,1.0,1.0
1,0,1625,1530,1.0,1.0
1,0,1625,1542,1.0,1.0
1,0,1625,1543,1.0,1.0
1,0,1625,1570,1.0,1.0
1,0,1625,1579,1.0,1.0
1,0,1625,1584,1.0,1.0
1,0,1625,1591,1.0,1.0
1,0,1625,1596,1.0,1.0
1,0,1625,1600,1.0,1.0
1,0,1625,1607,1.0,1.0
1,0,1625,1609,1.0,1.0
1,0,1625,1614,1.0,1.0
1,0,1625,1619,1.0,1.0
1,0,1625,1620,1.0,1.0
1,0,1625,1624,1.0,1.0
1,0,1502,1570,1.0,1.0
1,0,1502,1596,1.0,1.0
1,0,1502,1600,1.0,1.0
1,0,1502,1619,1.0,1.0
1,0,1502,1624,1.0,1.0
1,0,1543,1502,1.0,1.0
1,0,1543,1505,1.0,1.0
1,0,1543,1570,1.0,1.0
1,0,1543,1584,1.0,1.0
1,0,1543,1596,1.0,1.0
1,0,1543,1600,1.0,1.0
1,0,1543,1609,1.0,1.0
1,0,1543,1619,1.0,1.0
1,0,1543,1620,1.0,1.0
1,0,1543,1623,1.0,1.0
1,0,1591,1502,1.0,1.0
1,0,1591,1505,1.0,1.0
1,0,1591,1510,1.0,1.0
1,0,1591,1543,1.0,1.0
1,0,1591,1570,1.0,1.0
1,0,1591,1600,1.0,1.0
1,0,1591,1609,1.0,1.0
1,0,1591,1619,1.0,1.0
1,0,1591,1620,1.0,1.0
1,0,1591,1624,1.0,1.0
1,0,1613,1493,1.0,1.0
1,0,1613,1521,1.0,1.0
1,0,1613,1524,1.0,1.0
1,0,1613,1534,1.0,1.0
1,0,1613,1537,1.0,1.0
1,0,1613,1547,1.0,1.0
1,0,1613,1550,1.0,1.0
1,0,1613,1564,1.0,1.0
1,0,1613,1566,1.0,1.0
1,0,1613,1582,1.0,1.0
1,0,1613,1604,1.0,1.0
1,0,1615,1613,1.0,1.0
1,0,1532,1489,1.0,1.0
1,0,1532,1492,1.0,1.0
1,0,1532,1494,1.0,1.0
1,0,1532,1498,1.0,1.0
1,0,1532,1511,1.0,1.0
1,0,1532,1521,1.0,1.0
1,0,1532,1525,1.0,1.0
1,0,1533,1532,1.0,1.0
1,0,1544,1532,1.0,1.0
1,0,1550,1532,1.0,1.0
1,0,1564,1532,1.0,1.0
1,0,1566,1532,1.0,1.0
1,0,1532,1604,1.0,1.0
1,0,1494,1493,1.0,1.0
1,0,1494,1498,1.0,1.0
1,0,1511,1494,1.0,1.0
1,0,1521,1494,1.0,1.0
1,0,1525,1494,1.0,1.0
1,0,1534,1494,1.0,1.0
1,0,1544,1494,1.0,1.0
1,0,1494,1578,1.0,1.0
1,0,1604,1494,1.0,1.0
1,0,1615,1489,1.0,1.0
1,0,1615,1492,1.0,1.0
1,0,1615,1493,1.0,1.0
1,0,1615,1494,1.0,1.0
1,0,1615,1498,1.0,1.0
1,0,1615,1511,1.0,1.0
1,0,1615,1521,1.0,1.0
1,0,1615,1524,1.0,1.0
1,0,1615,1525,1.0,1.0
1,0,1615,1532,1.0,1.0
1,0,1615,1533,1.0,1.0
1,0,1615,1534,1.0,1.0
1,0,1615,1537,1.0,1.0
1,0,1615,1544,1.0,1.0
1,0,1615,1547,1.0,1.0
1,0,1615,1550,1.0,1.0
1,0,1615,1561,1.0,1.0
1,0,1615,1564,1.0,1.0
1,0,1615,1566,1.0,1.0
1,0,1615,1578,1.0,1.0
1,0,1615,1582,1.0,1.0
1,0,1615,1604,1.0,1.0
1,0,1547,1489,1.0,1.0
1,0,1547,1493,1.0,1.0
1,0,1547,1524,1.0,1.0
1,0,1547,1537,1.0,1.0
1,0,1604,1547,1.0,1.0
1,0,1525,1489,1.0,1.0
1,0,1525,1493,1.0,1.0
1,0,1525,1498,1.0,1.0
1,0,1525,1521,1.0,1.0
1,0,1533,1525,1.0,1.0
1,0,1534,1525,1.0,1.0
1,0,1537,1525,1.0,1.0
1,0,1550,1525,1.0,1.0
1,0,1525,1566,1.0,1.0
1,0,1524,1489,1.0,1.0
1,0,1524,1492,1.0,1.0
1,0,1524,1493,1.0,1.0
1,0,1524,1494,1.0,1.0
1,0,1524,1498,1.0,1.0
1,0,1524,1511,1.0,1.0
1,0,1524,1521,1.0,1.0
1,0,1524,1525,1.0,1.0
1,0,1524,1532,1.0,1.0
1,0,1533,1524,1.0,1.0
1,0,1534,1524,1.0,1.0
1,0,1537,1524,1.0,1.0
1,0,1524,1544,1.0,1.0
1,0,1550,1524,1.0,1.0
1,0,1524,1561,1.0,1.0
1,0,1564,1524,1.0,1.0
1,0,1524,1566,1.0,1.0
1,0,1524,1578,1.0,1.0
1,0,1582,1524,1.0,1.0
1,0,1604,1524,1.0,1.0
1,0,1544,1498,1.0,1.0
1,0,1544,1511,1.0,1.0
1,0,1544,1521,1.0,1.0
1,0,1544,1525,1.0,1.0
1,0,1544,1533,1.0,1.0
1,0,1544,1534,1.0,1.0
1,0,1550,1544,1.0,1.0
1,0,1566,1544,1.0,1.0
1,0,1604,1544,1.0,1.0
1,0,1544,1613,1.0,1.0
1,0,1511,1521,1.0,1.0
1,0,1511,1525,1.0,1.0
1,0,1533,1511,1.0,1.0
1,0,1604,1511,1.0,1.0
1,0,1511,1613,1.0,1.0
1,0,1511,1058,1.0,1.0
1,0,1537,1489,1.0,1.0
1,0,1537,1492,1.0,1.0
1,0,1537,1493,1.0,1.0
1,0,1537,1494,1.0,1.0
1,0,1537,1498,1.0,1.0
1,0,1537,1511,1.0,1.0
1,0,1537,1521,1.0,1.0
1,0,1537,1532,1.0,1.0
1,0,1537,1533,1.0,1.0
1,0,1537,1534,1.0,1.0
1,0,1537,1544,1.0,1.0
1,0,1550,1537,1.0,1.0
1,0,1564,1537,1.0,1.0
1,0,1537,1566,1.0,1.0
1,0,1537,1578,1.0,1.0
1,0,1582,1537,1.0,1.0
1,0,1604,1537,1.0,1.0
1,0,1534,1489,1.0,1.0
1,0,1534,1493,1.0,1.0
1,0,1534,1498,1.0,1.0
1,0,1534,1511,1.0,1.0
1,0,1534,1521,1.0,1.0
1,0,1534,1533,1.0,1.0
1,0,1534,1547,1.0,1.0
1,0,1550,1534,1.0,1.0
1,0,1564,1534,1.0,1.0
1,0,1534,1566,1.0,1.0
1,0,1534,1578,1.0,1.0
1,0,1582,1534,1.0,1.0
1,0,1604,1534,1.0,1.0
1,0,1550,1489,1.0,1.0
1,0,1550,1492,1.0,1.0
1,0,1550,1493,1.0,1.0
1,0,1550,1494,1.0,1.0
1,0,1550,1498,1.0,1.0
1,0,1550,1511,1.0,1.0
1,0,1550,1521,1.0,1.0
1,0,1550,1533,1.0,1.0
1,0,1550,1547,1.0,1.0
1,0,1564,1550,1.0,1.0
1,0,1550,1566,1.0,1.0
1,0,1550,1578,1.0,1.0
1,0,1582,1550,1.0,1.0
1,0,1604,1550,1.0,1.0
1,0,1492,1511,1.0,1.0
1,0,1492,1613,1.0,1.0
1,0,1564,1489,1.0,1.0
1,0,1564,1493,1.0,1.0
1,0,1564,1498,1.0,1.0
1,0,1564,1511,1.0,1.0
1,0,1564,1521,1.0,1.0
1,0,1564,1525,1.0,1.0
1,0,1564,1533,1.0,1.0
1,0,1564,1547,1.0,1.0
1,0,1564,1566,1.0,1.0
1,0,1582,1564,1.0,1.0
1,0,1604,1564,1.0,1.0
1,0,1564,1494,1.0,1.0
1,0,1582,1489,1.0,1.0
1,0,1582,1493,1.0,1.0
1,0,1582,1494,1.0,1.0
1,0,1582,1511,1.0,1.0
1,0,1582,1525,1.0,1.0
1,0,1582,1547,1.0,1.0
1,0,1582,1566,1.0,1.0
1,0,1582,1578,1.0,1.0
1,0,1604,1582,1.0,1.0
1,0,1533,1489,1.0,1.0
1,0,1533,1492,1.0,1.0
1,0,1533,1493,1.0,1.0
1,0,1533,1494,1.0,1.0
1,0,1533,1498,1.0,1.0
1,0,1533,1521,1.0,1.0
1,0,1533,1547,1.0,1.0
1,0,1566,1533,1.0,1.0
1,0,1533,1578,1.0,1.0
1,0,1533,1582,1.0,1.0
1,0,1533,1604,1.0,1.0
1,0,1533,1613,1.0,1.0
1,0,1566,1492,1.0,1.0
1,0,1566,1511,1.0,1.0
1,0,1566,1521,1.0,1.0
1,0,1566,1578,1.0,1.0
1,0,1604,1489,1.0,1.0
1,0,1604,1492,1.0,1.0
1,0,1604,1493,1.0,1.0
1,0,1604,1498,1.0,1.0
1,0,1604,1521,1.0,1.0
1,0,1604,1525,1.0,1.0
1,0,1604,1566,1.0,1.0
1,0,1604,1578,1.0,1.0
1,0,1521,1498,1.0,1.0
1,0,1512,1491,1.0,1.0
1,0,1529,1512,1.0,1.0
1,0,1512,1548,1.0,1.0
1,0,1555,1512,1.0,1.0
1,0,1512,1571,1.0,1.0
1,0,1605,1512,1.0,1.0
1,0,1610,1512,1.0,1.0
1,0,1622,1512,1.0,1.0
1,0,1599,1491,1.0,1.0
