,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,2.0,0.0,0.0,0.08574144602913576,0.0,0.0
1,2020-03-02,2.0,0.0,0.0,0.08574144602913576,0.0,0.0
2,2020-03-03,2.0,0.0,0.0,0.08574144602913576,0.0,0.0
3,2020-03-04,3.0,0.0,0.0,0.12861216904370365,0.0,0.0
4,2020-03-05,3.0,0.0,0.0,0.12861216904370365,0.0,0.0
5,2020-03-06,11.0,0.0,0.0,0.47157795316024675,0.0,0.0
6,2020-03-07,15.0,0.0,0.0,0.6430608452185183,0.0,0.0
7,2020-03-08,15.0,0.0,0.0,0.6430608452185183,0.0,0.0
8,2020-03-09,19.0,0.0,0.0,0.8145437372767897,0.0,0.0
9,2020-03-10,31.0,0.0,0.0,1.3289924134516045,0.0,0.0
10,2020-03-11,37.0,0.0,0.0,1.5862167515390118,0.0,0.0
11,2020-03-12,49.0,0.0,0.0,2.1006654277138264,0.0,0.0
12,2020-03-13,56.0,0.0,0.0,2.4007604888158016,0.0,0.0
13,2020-03-14,71.0,0.0,0.0,3.0438213340343196,0.0,0.0
14,2020-03-15,109.0,1.0,0.0,4.672908808587899,0.04287072301456788,0.0
15,2020-03-16,129.0,1.0,0.0,5.530323268879257,0.04287072301456788,0.0
16,2020-03-17,149.0,1.0,0.0,6.387737729170615,0.04287072301456788,0.0
17,2020-03-18,181.0,1.0,0.0,7.759600865636788,0.04287072301456788,0.0
18,2020-03-19,259.0,1.0,0.0,11.103517260773083,0.04287072301456788,0.0
19,2020-03-20,291.0,2.0,0.0,12.475380397239254,0.08574144602913576,0.0
20,2020-03-21,347.0,7.0,0.0,14.876140886055055,0.3000950611019752,0.0
21,2020-03-22,372.0,7.0,1.0,15.947908961419254,0.3000950611019752,0.04287072301456788
22,2020-03-23,409.0,8.0,1.0,17.534125712958264,0.34296578411654305,0.04287072301456788
23,2020-03-24,463.0,11.0,2.0,19.84914475574493,0.47157795316024675,0.08574144602913576
24,2020-03-25,538.0,14.0,6.0,23.064448981837522,0.6001901222039504,0.2572243380874073
25,2020-03-26,603.0,17.0,6.0,25.851045977784434,0.728802291247654,0.2572243380874073
26,2020-03-27,704.0,23.0,8.0,30.180989002255792,0.9860266293350614,0.34296578411654305
27,2020-03-28,754.0,26.0,11.0,32.32452515298419,1.1146387983787651,0.47157795316024675
28,2020-03-29,781.0,30.0,13.0,33.482034674377516,1.2861216904370365,0.5573193991893826
29,2020-03-30,806.0,38.0,17.0,34.55380274974171,1.6290874745535795,0.728802291247654
30,2020-03-31,852.0,45.0,20.0,36.525856008411836,1.9291825356555548,0.8574144602913577
31,2020-04-01,915.0,57.0,23.0,39.22671155832961,2.4436312118303696,0.9860266293350614
32,2020-04-02,984.0,67.0,25.0,42.1847914463348,2.8723384419760483,1.071768075364197
33,2020-04-03,1019.0,88.0,29.0,43.68526675184467,3.772623625281974,1.2432509674224688
34,2020-04-04,1022.0,107.0,34.0,43.81387892088838,4.5871673625587635,1.457604582495308
35,2020-04-05,1049.0,115.0,37.0,44.97138844228171,4.930133146675307,1.5862167515390118
36,2020-04-06,1038.0,159.0,40.0,44.499810489121465,6.816444959316294,1.7148289205827154
37,2020-04-07,1027.0,198.0,44.0,44.028232535961216,8.488403156884441,1.886311812640987
38,2020-04-08,1040.0,234.0,50.0,44.5855519351506,10.031749185408884,2.143536150728394
39,2020-04-09,1017.0,296.0,51.0,43.59952530581554,12.689734012312094,2.1864068737429623
40,2020-04-10,1007.0,333.0,58.0,43.170818075669864,14.275950763851107,2.4865019348449375
41,2020-04-11,982.0,373.0,62.0,42.09905000030566,15.990779684433821,2.657984826903209
42,2020-04-12,961.0,407.0,65.0,41.198764816999734,17.44838426692913,2.7865969959469123
43,2020-04-13,932.0,442.0,69.0,39.955513849577265,18.948859572439005,2.958079888005184
44,2020-04-14,869.0,514.0,71.0,37.254658299659496,22.035551629487895,3.0438213340343196
45,2020-04-15,838.0,584.0,71.0,35.92566588620789,25.036502240507645,3.0438213340343196
46,2020-04-16,763.0,681.0,71.0,32.710361660115296,29.194962372920727,3.0438213340343196
47,2020-04-17,696.0,769.0,72.0,29.83802321813925,32.9675859982027,3.0866920570488876
48,2020-04-18,692.0,799.0,74.0,29.666540326080973,34.253707688639736,3.1724335030780235
49,2020-04-19,664.0,839.0,75.0,28.466160081673074,35.968536609222454,3.2153042260925915
50,2020-04-20,662.0,881.0,78.0,28.380418635643938,37.769106975834305,3.3439163951362953
51,2020-04-21,604.0,948.0,78.0,25.893916700799,40.64144541781036,3.3439163951362953
52,2020-04-22,564.0,1002.0,78.0,24.179087780216285,42.95646446059702,3.3439163951362953
53,2020-04-23,531.0,1034.0,81.0,22.764353920735545,44.32832759706319,3.4725285641799988
54,2020-04-24,496.0,1081.0,83.0,21.26387861522567,46.34325157874788,3.5582700102091342
55,2020-04-25,483.0,1106.0,85.0,20.70655921603629,47.41501965411208,3.64401145623827
56,2020-04-26,474.0,1116.0,85.0,20.32072270890518,47.84372688425776,3.64401145623827
57,2020-04-27,441.0,1153.0,85.0,18.90598884942444,49.429943635796775,3.64401145623827
58,2020-04-28,430.0,1174.0,85.0,18.434410896264193,50.3302288191027,3.64401145623827
59,2020-04-29,415.0,1198.0,86.0,17.791350051045672,51.359126171452324,3.686882179252838
60,2020-04-30,395.0,1239.0,87.0,16.933935590754313,53.11682581504961,3.729752902267406
61,2020-05-01,377.0,1268.0,88.0,16.162262576492093,54.36007678247208,3.772623625281974
62,2020-05-02,373.0,1274.0,88.0,15.990779684433821,54.61730112055948,3.772623625281974
63,2020-05-03,344.0,1303.0,89.0,14.747528717011352,55.86055208798196,3.8154943482965415
64,2020-05-04,323.0,1330.0,90.0,13.847243533705429,57.01806160937528,3.8583650713111095
65,2020-05-05,305.0,1363.0,90.0,13.075570519443206,58.43279546885603,3.8583650713111095
66,2020-05-06,283.0,1395.0,90.0,12.132414613122712,59.804658605322196,3.8583650713111095
67,2020-05-07,275.0,1417.0,90.0,11.789448829006167,60.74781451164269,3.8583650713111095
68,2020-05-08,272.0,1434.0,90.0,11.660836659962465,61.47661680289035,3.8583650713111095
69,2020-05-09,268.0,1449.0,91.0,11.489353767904193,62.11967764810886,3.9012357943256775
70,2020-05-10,266.0,1459.0,92.0,11.403612321875057,62.548384878254545,3.9441065173402454
71,2020-05-11,266.0,1471.0,92.0,11.403612321875057,63.06283355442935,3.9441065173402454
72,2020-05-12,256.0,1487.0,92.0,10.974905091729378,63.74876512266244,3.9441065173402454
73,2020-05-13,259.0,1505.0,92.0,11.103517260773083,64.52043813692467,3.9441065173402454
74,2020-05-14,252.0,1524.0,93.0,10.803422199671108,65.33498187420145,3.9869772403548134
75,2020-05-15,253.0,1538.0,93.0,10.846292922685674,65.9351719964054,3.9869772403548134
76,2020-05-16,259.0,1546.0,94.0,11.103517260773083,66.27813778052196,4.029847963369381
77,2020-05-17,269.0,1549.0,94.0,11.532224490918761,66.40674994956565,4.029847963369381
78,2020-05-18,275.0,1567.0,94.0,11.789448829006167,67.17842296382787,4.029847963369381
79,2020-05-19,277.0,1576.0,94.0,11.875190275035305,67.56425947095899,4.029847963369381
80,2020-05-20,276.0,1591.0,94.0,11.832319552020737,68.2073203161775,4.029847963369381
81,2020-05-21,262.0,1607.0,94.0,11.232129429816785,68.89325188441059,4.029847963369381
82,2020-05-22,274.0,1617.0,94.0,11.7465781059916,69.32195911455628,4.029847963369381
